Latest: Time (min),Latest: Dissolved Oxygen 1 (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4(mg/L),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Potential (V),Latest: Potential 2 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0.366666667,6.813741423,17.18094135,25.85538147,101.7580313,6.813063261,6.721172363,6.985316315,2.065200806,2.08442688,2.034072876,2.100906372,0.366666667,0.036666667,0,,6.051254149,224,,,,,0,6.050575988,,,,6.222829041,5.95868509,,,,,,
0.383333333,6.817471312,17.1438415,25.8394409,101.7631875,6.80831613,6.721172363,6.985316315,2.065200806,2.084579468,2.03414917,2.100753784,0.383333333,0.038333333,0,,6.056435068,225,,,,,0,6.047279887,,,,6.224280071,5.96013612,,,,,,
0.4,6.814419585,17.18743383,25.86117805,101.7563125,6.807977049,6.721511444,6.986333557,2.065048218,2.084503174,2.034072876,2.100830078,0.4,0.04,0,,6.051715373,224,,,,,0,6.045272838,,,,6.223629346,5.958807233,,,,,,
0.416666667,6.818149473,17.18001386,25.85827976,101.7614688,6.807298888,6.716425232,6.989046204,2.064971924,2.084503174,2.034072876,2.100753784,0.416666667,0.041666667,0,,6.055738949,224,,,,,0,6.044888364,,,,6.226635679,5.954014708,,,,,,
0.433333333,6.814080504,17.17815886,25.84233919,101.766625,6.807637969,6.716764313,6.99582782,2.065048218,2.08442688,2.03414917,2.100753784,0.433333333,0.043333333,0,,6.051556496,225,,,,,0,6.045113961,,,,6.233303812,5.954240305,,,,,,
0.45,6.816114989,17.13456654,25.85827976,101.75975,6.813402342,6.716425232,6.996505981,2.065124512,2.084579468,2.03414917,2.100830078,0.45,0.045,0,,6.055721314,224,,,,,0,6.053008668,,,,6.236112307,5.956031558,,,,,,
0.466666667,6.819844877,17.18836132,25.84378833,101.7563125,6.812724181,6.716086151,6.996166901,2.065124512,2.084655762,2.034072876,2.100830078,0.466666667,0.046666667,0,,6.056885812,224,,,,,0,6.049765115,,,,6.233207835,5.953127086,,,,,,
0.483333333,6.824252928,17.17166639,25.85393233,101.75975,6.824931089,6.716764313,6.994471497,2.065048218,2.084579468,2.034072876,2.100982666,0.483333333,0.048333333,0,,6.062159488,225,,,,,0,6.062837649,,,,6.232378057,5.954670873,,,,,,
0.5,6.816454069,17.144769,25.84813576,101.7580313,6.82527017,6.716425232,7.002270355,2.064971924,2.08442688,2.03414917,2.10067749,0.5,0.05,0,,6.0554833,224,,,,,0,6.064299401,,,,6.241299586,5.955454462,,,,,,
0.516666667,6.814080504,17.19021632,25.83509347,101.7580313,6.835103513,6.716764313,7.001253113,2.064971924,2.084579468,2.034072876,2.100982666,0.516666667,0.051666667,0,,6.050932134,224,,,,,0,6.071955144,,,,6.238104743,5.953615943,,,,,,
0.533333333,6.816114989,17.144769,25.85103404,101.7545938,6.835442594,6.716425232,7.002270355,2.065200806,2.084579468,2.033920288,2.100753784,0.533333333,0.053333333,0,,6.055179752,225,,,,,0,6.074507358,,,,6.241335119,5.955489996,,,,,,
0.55,6.820523039,17.17444888,25.85103404,101.7580313,6.835103513,6.716425232,7.002609436,2.065048218,2.084503174,2.034072876,2.10105896,0.55,0.055,0,,6.058270522,224,,,,,0,6.072850997,,,,6.24035692,5.954172715,,,,,,
0.566666667,6.818827635,17.24586609,25.83509347,101.7580313,6.836459836,6.712017181,6.996166901,2.065048218,2.084503174,2.03414917,2.100753784,0.566666667,0.056666667,0,,6.05320873,224,,,,,0,6.070840932,,,,6.230547996,5.946398277,,,,,,
0.583333333,6.819844877,17.21433122,25.83654261,101.7563125,6.835781675,6.71133902,6.996505981,2.064971924,2.084655762,2.033996582,2.100601196,0.583333333,0.058333333,0,,6.0556438,225,,,,,0,6.071580597,,,,6.232304904,5.947137942,,,,,,
0.6,6.82933914,17.16795641,25.84089004,101.7563125,6.830356382,6.712356262,6.99582782,2.065124512,2.084732056,2.03414917,2.100753784,0.6,0.06,0,,6.067250209,224,,,,,0,6.068267452,,,,6.233738889,5.950267332,,,,,,
0.616666667,6.82933914,17.17815886,25.84378833,101.7563125,6.830356382,6.71133902,6.989046204,2.065200806,2.084503174,2.03414917,2.100982666,0.616666667,0.061666667,0,,6.066832942,224,,,,,0,6.067850184,,,,6.226540006,5.948832822,,,,,,
0.633333333,6.827643736,17.20691125,25.83219519,101.75975,6.830356382,6.711678101,6.996166901,2.065048218,2.08442688,2.034225464,2.100906372,0.633333333,0.063333333,0,,6.063718501,225,,,,,0,6.066431147,,,,6.232241666,5.947752866,,,,,,
0.65,6.830017301,17.18836132,25.83654261,101.7614688,6.830356382,6.71133902,6.99582782,2.065048218,2.08442688,2.03414917,2.10067749,0.65,0.065,0,,6.066969113,224,,,,,0,6.067308194,,,,6.232779632,5.948290832,,,,,,
0.666666667,6.832051786,17.20783875,25.83074604,101.75975,6.830356382,6.711678101,7.002270355,2.064971924,2.084503174,2.034072876,2.100753784,0.666666667,0.066666667,0,,6.068067517,224,,,,,0,6.066372113,,,,6.238286086,5.947693832,,,,,,
0.683333333,6.833408109,17.15682645,25.84523747,101.7563125,6.824931089,6.706252808,7.001592194,2.065048218,2.084503174,2.034301758,2.100906372,0.683333333,0.068333333,0,,6.071866603,225,,,,,0,6.063389583,,,,6.240050688,5.944711302,,,,,,
0.7,6.840189725,17.19763629,25.83509347,101.7614688,6.825948332,6.705574646,7.002270355,2.065048218,2.084503174,2.033996582,2.100753784,0.7,0.07,0,,6.076711951,224,,,,,0,6.062470558,,,,6.238792581,5.942096872,,,,,,
0.716666667,6.841206968,17.19207131,25.83654261,101.75975,6.818827635,6.706252808,6.995488739,2.064971924,2.084503174,2.033996582,2.100830078,0.716666667,0.071666667,0,,6.077994081,224,,,,,0,6.055614748,,,,6.232275853,5.943039921,,,,,,
0.733333333,6.845954099,17.1688839,25.84233919,101.752875,6.818488554,6.700827515,6.996166901,2.065124512,2.084503174,2.03414917,2.100753784,0.733333333,0.073333333,0,,6.083841799,225,,,,,0,6.056376254,,,,6.234054601,5.938715215,,,,,,
0.75,6.842563291,17.20227377,25.84813576,101.7511563,6.8123851,6.699471191,6.995488739,2.064971924,2.084503174,2.03414917,2.100753784,0.75,0.075,0,,6.079040171,224,,,,,0,6.04886198,,,,6.23196562,5.935948072,,,,,,
0.766666667,6.841206968,17.19670879,25.84378833,101.7631875,6.807977049,6.694045898,7.001592194,2.065124512,2.084350586,2.033996582,2.100906372,0.766666667,0.076666667,0,,6.077877374,224,,,,,0,6.044647455,,,,6.2382626,5.930716305,,,,,,
0.783333333,6.850023068,17.17723137,25.85972891,101.752875,6.806959807,6.69472406,7.001931274,2.065124512,2.084503174,2.03414917,2.100830078,0.783333333,0.078333333,0,,6.087753812,225,,,,,0,6.044690551,,,,6.239662019,5.932454804,,,,,,
0.8,6.845275937,17.16146393,25.8495849,101.7563125,6.807977049,6.689637848,7.008034729,2.065048218,2.084579468,2.03414917,2.100830078,0.8,0.08,0,,6.083581948,224,,,,,0,6.04628306,,,,6.24634074,5.927943859,,,,,,
0.816666667,6.841546048,17.24122861,25.85972891,101.7563125,6.812724181,6.689298767,7.010747375,2.065048218,2.084503174,2.034072876,2.100906372,0.816666667,0.081666667,0,,6.076436804,224,,,,,0,6.047614937,,,,6.245638132,5.924189523,,,,,,
0.833333333,6.836120756,17.22267869,25.84668661,101.7545938,6.8123851,6.683195313,7.010408295,2.065048218,2.084579468,2.03414917,2.100906372,0.833333333,0.083333333,0,,6.071674113,225,,,,,0,6.047938457,,,,6.245961652,5.91874867,,,,,,
0.85,6.841546048,17.20227377,25.83654261,101.752875,6.817810393,6.682856232,7.007356567,2.064971924,2.084350586,2.033996582,2.100753784,0.85,0.085,0,,6.077880241,224,,,,,0,6.054144585,,,,6.24369076,5.919190424,,,,,,
0.866666667,6.844936856,17.17444888,25.85248319,101.7545938,6.811706938,6.683534393,7.010747375,2.065048218,2.084503174,2.03414917,2.100753784,0.866666667,0.086666667,0,,6.082702134,224,,,,,0,6.049472216,,,,6.248512654,5.921299671,,,,,,
0.883333333,6.839850644,17.19949128,25.83799176,101.7545938,6.813063261,6.683534393,7.007017487,2.065200806,2.084503174,2.03414917,2.100906372,0.883333333,0.088333333,0,,6.076326201,225,,,,,0,6.049538818,,,,6.243493043,5.92000995,,,,,,
0.9,6.837477079,17.17166639,25.85103404,101.7563125,6.806959807,6.683873474,7.001931274,2.065124512,2.084655762,2.033996582,2.100753784,0.9,0.09,0,,6.075348057,224,,,,,0,6.044830786,,,,6.239802253,5.921744453,,,,,,
0.916666667,6.84629318,17.16331892,25.85827976,101.7563125,6.807637969,6.689637848,7.006678406,2.065048218,2.084579468,2.034225464,2.100830078,0.916666667,0.091666667,0,,6.084623539,224,,,,,0,6.045968328,,,,6.245008765,5.927968207,,,,,,
0.933333333,6.836459836,17.21340372,25.84668661,101.7545938,6.802890837,6.689976929,7.007356567,2.064971924,2.084350586,2.03414917,2.100906372,0.933333333,0.093333333,0,,6.072424873,225,,,,,0,6.038855874,,,,6.243321604,5.925941965,,,,,,
0.95,6.835442594,17.21062123,25.84378833,101.75975,6.798143706,6.689976929,7.001592194,2.065048218,2.08442688,2.034378052,2.100830078,0.95,0.095,0,,6.071495453,224,,,,,0,6.034196565,,,,6.237645052,5.926029788,,,,,,
0.966666667,6.83815524,17.18743383,25.86552548,101.7563125,6.797465545,6.689637848,7.007017487,2.065048218,2.084274292,2.03414917,2.100906372,0.966666667,0.096666667,0,,6.075504407,224,,,,,0,6.034814711,,,,6.244366653,5.926987014,,,,,,
0.983333333,6.836798917,17.20691125,25.84378833,101.7511563,6.797804625,6.689637848,7.007017487,2.065048218,2.08442688,2.033996582,2.100753784,0.983333333,0.098333333,0,,6.073016455,225,,,,,0,6.034022163,,,,6.243235025,5.925855386,,,,,,
1,6.842563291,17.18465134,25.85827976,101.7614688,6.797465545,6.689637848,7.006339325,2.065048218,2.08442688,2.03414917,2.100753784,1,0.1,0,,6.079946965,224,,,,,0,6.034849219,,,,6.243723,5.927021523,,,,,,
1.016666667,6.835781675,17.20041878,25.85827976,101.7614688,6.797804625,6.694384979,7.000914032,2.065200806,2.084503174,2.034225464,2.100753784,1.016666667,0.101666667,0,,6.072465626,224,,,,,0,6.034488577,,,,6.237597983,5.93106893,,,,,,
1.033333333,6.830695463,17.22453368,25.84089004,101.7545938,6.803229918,6.694384979,7.001253113,2.064971924,2.084655762,2.033996582,2.100753784,1.033333333,0.103333333,0,,6.066095056,225,,,,,0,6.038629512,,,,6.236652706,5.929784573,,,,,,
1.05,6.830017301,17.19207131,25.84813576,101.7580313,6.797465545,6.694384979,6.996166901,2.064971924,2.08442688,2.034072876,2.100830078,1.05,0.105,0,,6.066947018,224,,,,,0,6.034395262,,,,6.233096618,5.931314696,,,,,,
1.066666667,6.832051786,17.24215611,25.84813576,101.7545938,6.797465545,6.700149353,6.995488739,2.065048218,2.084350586,2.034225464,2.100906372,1.066666667,0.106666667,0,,6.066758488,224,,,,,0,6.032172247,,,,6.230195441,5.934856055,,,,,,
1.083333333,6.831373624,17.18186885,25.88146608,101.7545938,6.797804625,6.699810272,6.995488739,2.065048218,2.084655762,2.034072876,2.100753784,1.083333333,0.108333333,0,,6.069165229,225,,,,,0,6.03559623,,,,6.233280344,5.937601877,,,,,,
1.1,6.835781675,17.2690535,25.87422035,101.7563125,6.797465545,6.699132111,6.99582782,2.065124512,2.084503174,2.03414917,2.10067749,1.1,0.11,0,,6.069616375,224,,,,,0,6.031300245,,,,6.22966252,5.932966811,,,,,,
1.116666667,6.845615018,17.1948538,25.85827976,101.7563125,6.791701171,6.700827515,6.996166901,2.065048218,2.08442688,2.034072876,2.100753784,1.116666667,0.111666667,0,,6.08254593,224,,,,,0,6.028632084,,,,6.233097813,5.937758427,,,,,,
1.133333333,6.845954099,17.20876624,25.87711864,101.7563125,6.790344848,6.705913727,6.996166901,2.065048218,2.08442688,2.033920288,2.100830078,1.133333333,0.113333333,0,,6.082499123,225,,,,,0,6.026889872,,,,6.232711925,5.942458751,,,,,,
1.15,6.844597776,17.19207131,25.86117805,101.752875,6.79136209,6.706252808,7.001592194,2.065048218,2.084503174,2.034225464,2.100830078,1.15,0.115,0,,6.081687773,224,,,,,0,6.028452088,,,,6.238682191,5.943342805,,,,,,
1.166666667,6.84629318,17.21154873,25.8394409,101.7563125,6.792379333,6.706591888,7.001592194,2.064971924,2.08442688,2.034072876,2.100830078,1.166666667,0.116666667,0,,6.082251329,224,,,,,0,6.028337482,,,,6.237550343,5.942550038,,,,,,
1.183333333,6.851040311,17.19021632,25.84378833,101.7545938,6.791023009,6.706591888,7.001931274,2.065048218,2.084350586,2.034301758,2.100906372,1.183333333,0.118333333,0,,6.087998905,225,,,,,0,6.027981604,,,,6.238889869,5.943550483,,,,,,
1.2,6.847649503,17.19207131,25.85393233,101.7545938,6.790683929,6.705913727,7.002270355,2.064971924,2.08442688,2.03414917,2.100830078,1.2,0.12,0,,6.084650475,224,,,,,0,6.027684901,,,,6.239271327,5.942914699,,,,,,
1.216666667,6.849005826,17.22453368,25.83799176,101.7545938,6.798143706,6.71133902,7.001931274,2.065124512,2.084579468,2.034301758,2.100830078,1.216666667,0.121666667,0,,6.084369693,224,,,,,0,6.033507574,,,,6.237295142,5.946702887,,,,,,
1.233333333,6.851040311,17.17444888,25.86262719,101.7545938,6.797804625,6.712017181,7.001931274,2.064971924,2.084579468,2.03414917,2.100982666,1.233333333,0.123333333,0,,6.088930097,225,,,,,0,6.035694411,,,,6.23982106,5.949906967,,,,,,
1.25,6.851040311,17.17630387,25.85683062,101.7545938,6.802890837,6.712017181,7.002270355,2.065124512,2.084503174,2.03414917,2.100906372,1.25,0.125,0,,6.088776639,224,,,,,0,6.040627165,,,,6.240006683,5.949753509,,,,,,
1.266666667,6.848327664,17.18094135,25.85248319,101.7563125,6.807637969,6.712017181,7.002270355,2.064971924,2.08442688,2.034225464,2.100830078,1.266666667,0.126666667,0,,6.085804794,224,,,,,0,6.045115098,,,,6.239747485,5.949494311,,,,,,
1.283333333,6.856126523,17.16610141,25.8495849,101.752875,6.807298888,6.714051666,7.002270355,2.064971924,2.08442688,2.034072876,2.100753784,1.283333333,0.128333333,0,,6.094226703,225,,,,,0,6.045399069,,,,6.240370536,5.952151847,,,,,,
1.3,6.856465603,17.16424642,25.84378833,101.7545938,6.812724181,6.716764313,7.001931274,2.065124512,2.084579468,2.034072876,2.100830078,1.3,0.13,0,,6.094576953,224,,,,,0,6.05083553,,,,6.240042624,5.954875662,,,,,,
1.316666667,6.857482846,17.1939263,25.83799176,101.7545938,6.813063261,6.716425232,7.001592194,2.065048218,2.084579468,2.034072876,2.10067749,1.316666667,0.131666667,0,,6.094205444,224,,,,,0,6.04978586,,,,6.238314792,5.95314783,,,,,,
1.333333333,6.855448361,17.22175119,25.84523747,101.752875,6.818827635,6.716425232,7.002270355,2.064971924,2.084503174,2.034072876,2.100753784,1.333333333,0.133333333,0,,6.091025035,225,,,,,0,6.054404309,,,,6.237847029,5.952001906,,,,,,
1.35,6.853074795,17.19021632,25.86697463,101.7511563,6.818149473,6.717442474,7.002270355,2.065048218,2.08442688,2.034072876,2.100906372,1.35,0.135,0,,6.090318287,224,,,,,0,6.055392965,,,,6.239513847,5.954685966,,,,,,
1.366666667,6.853752957,17.21525872,25.87277121,101.7511563,6.824931089,6.721172363,7.002609436,2.065200806,2.084579468,2.034072876,2.100830078,1.366666667,0.136666667,0,,6.089956529,224,,,,,0,6.061134662,,,,6.238813008,5.957375936,,,,,,
1.383333333,6.855787442,17.18650633,25.88726266,101.7563125,6.818149473,6.729310303,7.003287598,2.065124512,2.084503174,2.03414917,2.100753784,1.383333333,0.138333333,0,,6.093444376,225,,,,,0,6.055806408,,,,6.240944532,5.966967237,,,,,,
1.4,6.853752957,17.22175119,25.8945084,101.7563125,6.817810393,6.727953979,7.002270355,2.065048218,2.084732056,2.034225464,2.100753784,1.4,0.14,0,,6.089935489,224,,,,,0,6.053992925,,,,6.238452888,5.964136512,,,,,,
1.416666667,6.857482846,17.24679359,25.89016096,101.752875,6.812724181,6.734057434,7.003287598,2.065048218,2.084579468,2.03414917,2.100982666,1.416666667,0.141666667,0,,6.092501254,224,,,,,0,6.047742589,,,,6.238306006,5.969075843,,,,,,
1.433333333,6.85917825,17.17630387,25.90320329,101.752875,6.813741423,6.739482727,7.008034729,2.065048218,2.084503174,2.033920288,2.100906372,1.433333333,0.143333333,0,,6.09748286,225,,,,,0,6.052046033,,,,6.246339339,5.977787337,,,,,,
1.45,6.858839169,17.20134627,25.88001693,101.7545938,6.813063261,6.740499969,7.00837381,2.065124512,2.084732056,2.033996582,2.100830078,1.45,0.145,0,,6.095748948,224,,,,,0,6.04997304,,,,6.245283589,5.977409748,,,,,,
1.466666667,6.855448361,17.20134627,25.88581352,101.7545938,6.812046019,6.75745401,7.007356567,2.065048218,2.084350586,2.033996582,2.100906372,1.466666667,0.146666667,0,,6.092429263,224,,,,,0,6.049026921,,,,6.24433747,5.994434912,,,,,,
1.483333333,6.855787442,17.20227377,25.89305925,101.752875,6.8123851,6.75745401,7.008712891,2.065048218,2.084503174,2.034072876,2.10067749,1.483333333,0.148333333,0,,6.092816068,225,,,,,0,6.049413726,,,,6.245741516,5.994482636,,,,,,
1.5,6.855787442,17.15868144,25.90899988,101.7545938,6.817810393,6.764574707,7.00837381,2.065200806,2.084655762,2.034301758,2.100830078,1.5,0.15,0,,6.094944354,224,,,,,0,6.056967305,,,,6.247530722,6.00373162,,,,,,
1.516666667,6.848327664,17.21804121,25.90755073,101.7545938,6.818488554,6.764574707,7.003965759,2.065124512,2.084579468,2.03414917,2.100830078,1.516666667,0.151666667,0,,6.084834707,224,,,,,0,6.054995597,,,,6.240472802,6.00108175,,,,,,
1.533333333,6.85070123,17.20505626,25.90899988,101.7563125,6.818488554,6.769321838,7.008034729,2.064971924,2.084503174,2.034225464,2.100753784,1.533333333,0.153333333,0,,6.08780181,225,,,,,0,6.055589134,,,,6.245135309,6.006422418,,,,,,
1.55,6.856126523,17.15497146,25.90320329,101.752875,6.82527017,6.770339081,7.002609436,2.065124512,2.08442688,2.034072876,2.100830078,1.55,0.155,0,,6.095377134,224,,,,,0,6.064520781,,,,6.241860047,6.009589692,,,,,,
1.566666667,6.856465603,17.17073889,25.88871181,101.7614688,6.82527017,6.775425293,7.008034729,2.065124512,2.084579468,2.033996582,2.100753784,1.566666667,0.156666667,0,,6.094839678,224,,,,,0,6.063644244,,,,6.246408803,6.013799367,,,,,,
1.583333333,6.856465603,17.17908636,25.87856779,101.7545938,6.824931089,6.775425293,7.006678406,2.065048218,2.084579468,2.034301758,2.100830078,1.583333333,0.158333333,0,,6.094345119,225,,,,,0,6.062810605,,,,6.244557922,6.013304809,,,,,,
1.6,6.860195492,17.19670879,25.89740669,101.7545938,6.830017301,6.775425293,7.001592194,2.064971924,2.084503174,2.033920288,2.100830078,1.6,0.16,0,,6.09752422,224,,,,,0,6.067346029,,,,6.238920921,6.012754021,,,,,,
1.616666667,6.857143765,17.20505626,25.90320329,101.7563125,6.830356382,6.780850586,7.00837381,2.065124512,2.084350586,2.03414917,2.100830078,1.616666667,0.161666667,0,,6.09417333,224,,,,,0,6.067385947,,,,6.245403375,6.017880151,,,,,,
1.633333333,6.858500088,17.25514106,25.88871181,101.7563125,6.834764432,6.785936798,7.002270355,2.065048218,2.084579468,2.034072876,2.100830078,1.633333333,0.163333333,0,,6.093130417,225,,,,,0,6.069394761,,,,6.236900684,6.020567127,,,,,,
1.65,6.865281704,17.19207131,25.88581352,101.752875,6.834764432,6.792718414,7.002270355,2.065124512,2.084503174,2.033920288,2.100753784,1.65,0.165,0,,6.102674026,224,,,,,0,6.072156754,,,,6.239662677,6.030110736,,,,,,
1.666666667,6.857143765,17.28667593,25.87856779,101.7511563,6.841206968,6.793057495,7.001931274,2.065124512,2.08442688,2.03414917,2.100753784,1.666666667,0.166666667,0,,6.090250256,224,,,,,0,6.074313458,,,,6.235037765,6.026163986,,,,,,
