Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure 3 (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV4 (V),Latest: FlowV2 (V),Latest: Potential (V),Latest: FlowV3 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),,,Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0.166666667,9.046086741,4.003074008,24.90753201,911.6952271,8.928425705,8.482195375,9.253943271,2.106628418,2.089080811,2.071304321,2.156982422,0.166666667,0.016666667,0,,8.865620345,224,,,,,0,8.747959308,,,,8.301728978,9.073476874,,,,,,,,
0.183333333,9.052190196,3.861167075,24.90753201,911.6611755,8.927747543,8.482195375,9.254282351,2.106552124,2.089080811,2.071380615,2.157211304,0.183333333,0.018333333,0,,8.878121241,225,,,,,0,8.753678588,,,,8.308126419,9.080213396,,,,,,,,
0.2,9.056259165,3.908469386,24.89593452,911.6952271,8.927408462,8.482534455,9.248857059,2.106781006,2.089004517,2.071304321,2.15713501,0.2,0.02,0,,8.880022936,224,,,,,0,8.751172233,,,,8.306298226,9.072620829,,,,,,,,
0.216666667,9.061345377,4.492792051,24.89448483,911.7292786,8.927408462,8.482195375,9.249196139,2.106552124,2.089004517,2.071151733,2.15713501,0.216666667,0.021666667,0,,8.858756537,224,,,,,0,8.724819622,,,,8.279606534,9.046607299,,,,,,,,
0.233333333,9.061006297,3.639495461,24.89738421,911.6611755,8.927747543,8.482534455,9.249874301,2.106628418,2.089080811,2.071228027,2.15713501,0.233333333,0.023333333,0,,8.896902383,225,,,,,0,8.763643629,,,,8.318430542,9.085770387,,,,,,,,
0.25,9.061006297,3.852819608,24.90608233,911.6782013,8.931138351,8.482195375,9.24953522,2.106628418,2.089080811,2.071228027,2.157058716,0.25,0.025,0,,8.887309376,224,,,,,0,8.75744143,,,,8.308498454,9.075838299,,,,,,,,
0.266666667,9.065753428,3.86487706,24.8988339,911.6782013,8.931138351,8.482534455,9.24512717,2.106704712,2.089004517,2.071228027,2.157058716,0.266666667,0.026666667,0,,8.891491418,224,,,,,0,8.756876341,,,,8.308272445,9.07086516,,,,,,,,
0.283333333,9.065414347,5.368348553,24.87998779,911.627124,8.931477432,8.482195375,9.245466251,2.106704712,2.089157104,2.071151733,2.157287598,0.283333333,0.028333333,0,,8.823285137,225,,,,,0,8.689348222,,,,8.240066165,9.003337041,,,,,,,,
0.3,9.066431589,5.435128286,24.89013573,911.7122528,8.930121109,8.482195375,9.24512717,2.106628418,2.089157104,2.071228027,2.157058716,0.3,0.03,0,,8.821332795,224,,,,,0,8.685022315,,,,8.237096581,9.000028376,,,,,,,,
0.316666667,9.072535044,3.799024823,24.8727392,911.7122528,8.93079927,8.482195375,9.24953522,2.106704712,2.088928223,2.071151733,2.157058716,0.316666667,0.031666667,0,,8.901166036,224,,,,,0,8.759430262,,,,8.310826367,9.078166212,,,,,,,,
0.333333333,9.072874124,3.683087786,24.8669403,911.7122528,8.930460189,8.482534455,9.245805331,2.106628418,2.089004517,2.071228027,2.156982422,0.333333333,0.033333333,0,,8.90671845,225,,,,,0,8.764304515,,,,8.316378781,9.079649657,,,,,,,,
0.35,9.072535044,5.308061294,24.86839003,911.6952271,8.931138351,8.482534455,9.250552463,2.10647583,2.089004517,2.071151733,2.157058716,0.35,0.035,0,,8.833077626,224,,,,,0,8.691680933,,,,8.243077037,9.011095045,,,,,,,,
0.366666667,9.078638498,4.716318658,24.8582419,911.6952271,8.928086624,8.482534455,9.250213382,2.106704712,2.089080811,2.071304321,2.157058716,0.366666667,0.036666667,0,,8.865838948,224,,,,,0,8.715287074,,,,8.269734905,9.037413831,,,,,,,,
0.383333333,9.071856882,3.594048142,24.8727392,911.6611755,8.931477432,8.482195375,9.249874301,2.106704712,2.088928223,2.071304321,2.157211304,0.383333333,0.038333333,0,,8.909734102,225,,,,,0,8.769354652,,,,8.320072595,9.087751521,,,,,,,,
0.4,9.071856882,3.906614393,24.86839003,911.7122528,8.930460189,8.482195375,9.254282351,2.106552124,2.088928223,2.071151733,2.156982422,0.4,0.04,0,,8.895621578,224,,,,,0,8.754224885,,,,8.305960071,9.078047047,,,,,,,,
0.416666667,9.072874124,3.811082275,24.8582419,911.7292786,8.93079927,8.482534455,9.261742129,2.106704712,2.089004517,2.071380615,2.157058716,0.416666667,0.041666667,0,,8.900918696,224,,,,,0,8.758843842,,,,8.310579027,9.089786701,,,,,,,,
0.433333333,9.078299417,3.91496186,24.86404084,911.7292786,8.936224563,8.482195375,9.261403048,2.106628418,2.089080811,2.071304321,2.157211304,0.433333333,0.043333333,0,,8.901674438,225,,,,,0,8.759599583,,,,8.305570395,9.084778069,,,,,,,,
0.45,9.078299417,3.70720269,24.86839003,911.7292786,8.936902725,8.482195375,9.261403048,2.106628418,2.088928223,2.071151733,2.157058716,0.45,0.045,0,,8.91105998,224,,,,,0,8.769663287,,,,8.314955937,9.094163611,,,,,,,,
0.466666667,9.077960336,3.848182127,24.86549057,911.6782013,8.937241805,8.482195375,9.261742129,2.106704712,2.089233398,2.071151733,2.157058716,0.466666667,0.046666667,0,,8.904352444,224,,,,,0,8.763633913,,,,8.308587482,9.088134236,,,,,,,,
0.483333333,9.072874124,4.814633265,24.85099318,911.7463043,8.94368434,8.482195375,9.268184664,2.106704712,2.089080811,2.071151733,2.156982422,0.483333333,0.048333333,0,,8.855611752,225,,,,,0,8.726421968,,,,8.264933002,9.050922291,,,,,,,,
0.5,9.07117872,3.786967371,24.86404084,911.7292786,8.94368434,8.482534455,9.261742129,2.106628418,2.089080811,2.071075439,2.157211304,0.5,0.05,0,,8.900328261,224,,,,,0,8.772833881,,,,8.311683995,9.090891669,,,,,,,,
0.516666667,9.077621256,3.758214986,24.86114137,911.7292786,8.94368434,8.482195375,9.261063967,2.106704712,2.088928223,2.071075439,2.15713501,0.516666667,0.051666667,0,,8.908059582,224,,,,,0,8.774122667,,,,8.312633701,9.091502293,,,,,,,,
0.533333333,9.078299417,3.577353209,24.86404084,911.6782013,8.94368434,8.482195375,9.261403048,2.106628418,2.089004517,2.071151733,2.157058716,0.533333333,0.053333333,0,,8.916905779,225,,,,,0,8.782290702,,,,8.320801737,9.10000941,,,,,,,,
0.55,9.077960336,3.812937268,24.8669403,911.7803558,8.94334526,8.482195375,9.26242029,2.106628418,2.089080811,2.071151733,2.157287598,0.55,0.055,0,,8.905946744,224,,,,,0,8.771331667,,,,8.310181782,9.090406698,,,,,,,,
0.566666667,9.077960336,3.552310809,24.85389267,911.6952271,8.944023421,8.482195375,9.267506502,2.1068573,2.089080811,2.071228027,2.15713501,0.566666667,0.056666667,0,,8.917668736,224,,,,,0,8.783731821,,,,8.321903774,9.107214902,,,,,,,,
0.583333333,9.078299417,3.654335401,24.8669403,911.7122528,8.944023421,8.482534455,9.268862826,2.106781006,2.089004517,2.071228027,2.156982422,0.583333333,0.058333333,0,,8.913440854,225,,,,,0,8.779164858,,,,8.317675892,9.104004262,,,,,,,,
0.6,9.077960336,3.568078246,24.86114137,911.7122528,8.939954452,8.482534455,9.267506502,2.106628418,2.089004517,2.071151733,2.157058716,0.6,0.06,0,,8.916977178,224,,,,,0,8.778971293,,,,8.321551297,9.106523344,,,,,,,,
0.616666667,9.077960336,3.655262898,24.86404084,911.7292786,8.944023421,8.482195375,9.267506502,2.106781006,2.089080811,2.071380615,2.15713501,0.616666667,0.061666667,0,,8.913051773,224,,,,,0,8.779114858,,,,8.317286812,9.102597939,,,,,,,,
0.633333333,9.078299417,3.725752616,24.86114137,911.7633301,8.943006179,8.482195375,9.267506502,2.106704712,2.089004517,2.071228027,2.15713501,0.633333333,0.063333333,0,,8.910202368,225,,,,,0,8.774909129,,,,8.314098325,9.099409453,,,,,,,,
0.65,9.078299417,3.958554186,24.86404084,911.6952271,8.94775331,8.482195375,9.261742129,2.106704712,2.089080811,2.071228027,2.15713501,0.65,0.065,0,,8.899707754,224,,,,,0,8.769161646,,,,8.303603711,9.083150465,,,,,,,,
0.666666667,9.077960336,3.792532349,24.85244292,911.7122528,8.953178603,8.482534455,9.261742129,2.106552124,2.089080811,2.071228027,2.156906128,0.666666667,0.066666667,0,,8.906824938,224,,,,,0,8.782043205,,,,8.311399057,9.090606731,,,,,,,,
0.683333333,9.082368387,3.827777208,24.86259111,911.7122528,8.952839522,8.482195375,9.254282351,2.106552124,2.089080811,2.071228027,2.157058716,0.683333333,0.068333333,0,,8.909672504,225,,,,,0,8.780143639,,,,8.309499492,9.081586468,,,,,,,,
0.7,9.082029306,3.810154779,24.87128948,911.7463043,8.959621138,8.482195375,9.255977755,2.106628418,2.089004517,2.071228027,2.156906128,0.7,0.07,0,,8.910153991,224,,,,,0,8.787745823,,,,8.31032006,9.08410244,,,,,,,,
0.716666667,9.082368387,3.759142482,24.8582419,911.7122528,8.96470735,8.482195375,9.254960513,2.106628418,2.089004517,2.071304321,2.157058716,0.716666667,0.071666667,0,,8.912756474,224,,,,,0,8.795095437,,,,8.312583462,9.0853486,,,,,,,,
0.733333333,9.082368387,3.781402394,24.86114137,911.7463043,8.965724592,8.482195375,9.250552463,2.106552124,2.089004517,2.071151733,2.157058716,0.733333333,0.073333333,0,,8.911760552,225,,,,,0,8.795116758,,,,8.31158754,9.079944628,,,,,,,,
0.75,9.083046548,3.738737564,24.86114137,911.7633301,8.965724592,8.482534455,9.250213382,2.106628418,2.089157104,2.070999146,2.15713501,0.75,0.075,0,,8.914363649,224,,,,,0,8.797041693,,,,8.313851556,9.081530483,,,,,,,,
0.766666667,9.082029306,3.766562453,24.87128948,911.7292786,8.969793562,8.482534455,9.24953522,2.1068573,2.089157104,2.071228027,2.15713501,0.766666667,0.076666667,0,,8.912120432,224,,,,,0,8.799884688,,,,8.312625581,9.079626346,,,,,,,,
0.783333333,9.082029306,3.495733535,24.86839003,911.6782013,8.974879774,8.482534455,9.24953522,2.106628418,2.089080811,2.071228027,2.156982422,0.783333333,0.078333333,0,,8.924329671,225,,,,,0,8.817180139,,,,8.324834821,9.091835586,,,,,,,,
0.8,9.081351144,3.785112379,24.85969164,911.7463043,8.974879774,8.482195375,9.245466251,2.106628418,2.089004517,2.071380615,2.15713501,0.8,0.08,0,,8.910571699,224,,,,,0,8.804100329,,,,8.31141593,9.074686806,,,,,,,,
0.816666667,9.082029306,3.529123402,24.87128948,911.7633301,8.980983228,8.482195375,9.245466251,2.106628418,2.089080811,2.071151733,2.157211304,0.816666667,0.081666667,0,,8.92283126,224,,,,,0,8.821785182,,,,8.322997328,9.086268204,,,,,,,,
0.833333333,9.082368387,3.746157534,24.85389267,911.7633301,8.987425763,8.482195375,9.245805331,2.106781006,2.088928223,2.071151733,2.15713501,0.833333333,0.083333333,0,,8.913329804,225,,,,,0,8.81838718,,,,8.313156792,9.076766748,,,,,,,,
0.85,9.088810922,3.587555668,24.86114137,911.7463043,8.987764844,8.482534455,9.240040958,2.106704712,2.089004517,2.071228027,2.157058716,0.85,0.085,0,,8.926948988,224,,,,,0,8.825902911,,,,8.320672522,9.078179024,,,,,,,,
0.866666667,9.089489084,3.835197179,24.86549057,911.7463043,8.992851056,8.482195375,9.240380039,2.106781006,2.089004517,2.071151733,2.156982422,0.866666667,0.086666667,0,,8.916466997,224,,,,,0,8.81982897,,,,8.309173288,9.067357952,,,,,,,,
0.883333333,9.088471841,3.516138453,24.8582419,911.7292786,8.992851056,8.482195375,9.240719119,2.106781006,2.089080811,2.071228027,2.157058716,0.883333333,0.088333333,0,,8.929824231,225,,,,,0,8.834203446,,,,8.323547765,9.08207151,,,,,,,,
0.9,9.08779368,3.772127431,24.85389267,911.7292786,8.993190137,8.482195375,9.240380039,2.106781006,2.089080811,2.071304321,2.156982422,0.9,0.09,0,,8.917583252,224,,,,,0,8.822979709,,,,8.311984947,9.070169611,,,,,,,,
0.916666667,9.08813276,3.543963342,24.85244292,911.7292786,8.997598187,8.482195375,9.240380039,2.106704712,2.089157104,2.071304321,2.157058716,0.916666667,0.091666667,0,,8.928213867,224,,,,,0,8.837679293,,,,8.322276481,9.080461145,,,,,,,,
0.933333333,9.088471841,3.619090542,24.86549057,911.7633301,9.000310834,8.482195375,9.240040958,2.106552124,2.089004517,2.071151733,2.157211304,0.933333333,0.093333333,0,,8.925199246,225,,,,,0,8.837038239,,,,8.31892278,9.076768363,,,,,,,,
0.95,9.087454599,3.57457072,24.86404084,911.7633301,9.009126934,8.482195375,9.24512717,2.106704712,2.089157104,2.071228027,2.157211304,0.95,0.095,0,,8.926186494,224,,,,,0,8.84785883,,,,8.32092727,9.083859065,,,,,,,,
0.966666667,9.088471841,5.184704286,24.84954343,911.7633301,9.009805096,8.482195375,9.24512717,2.106704712,2.088928223,2.071228027,2.157058716,0.966666667,0.096666667,0,,8.854504065,224,,,,,0,8.775837319,,,,8.248227598,9.011159393,,,,,,,,
0.983333333,9.088810922,3.697927727,24.84809367,911.7973816,9.014891308,8.482195375,9.245466251,2.106628418,2.089004517,2.071228027,2.156982422,0.983333333,0.098333333,0,,8.921932099,225,,,,,0,8.848012485,,,,8.315316552,9.078587428,,,,,,,,
1,9.088471841,3.817574749,24.83794536,911.7973816,9.014891308,8.482534455,9.24512717,2.1068573,2.089080811,2.071075439,2.15713501,1,0.1,0,,8.91616376,224,,,,,0,8.842583227,,,,8.310226374,9.072819089,,,,,,,,
1.016666667,9.086437356,3.760997475,24.85534241,911.7633301,9.015230389,8.482195375,9.249874301,2.106628418,2.089080811,2.070999146,2.15713501,1.016666667,0.101666667,0,,8.916733348,224,,,,,0,8.84552638,,,,8.312491366,9.080170292,,,,,,,,
1.033333333,9.087115518,4.932425294,24.85534241,911.7463043,9.015230389,8.482195375,9.250213382,2.106552124,2.089080811,2.071228027,2.156982422,1.033333333,0.103333333,0,,8.864554256,225,,,,,0,8.792669127,,,,8.259634113,9.02765212,,,,,,,,
1.05,9.086437356,3.945569238,24.84374441,911.7463043,9.015230389,8.481856294,9.245466251,2.106628418,2.089080811,2.071304321,2.157058716,1.05,0.105,0,,8.908369825,224,,,,,0,8.837162857,,,,8.303788762,9.067398719,,,,,,,,
1.066666667,9.094575296,4.000291519,24.84809367,911.7292786,9.014891308,8.482195375,9.24512717,2.106704712,2.089004517,2.071228027,2.15713501,1.066666667,0.106666667,0,,8.914051502,224,,,,,0,8.834367515,,,,8.301671582,9.064603377,,,,,,,,
1.083333333,9.094914376,4.2803954,24.84374441,911.7803558,9.014891308,8.482195375,9.24512717,2.106781006,2.089004517,2.071228027,2.157058716,1.083333333,0.108333333,0,,8.901735801,225,,,,,0,8.821712733,,,,8.2890168,9.051948595,,,,,,,,
1.1,9.099661507,3.898266927,24.84809367,911.7633301,9.014552227,8.482534455,9.245466251,2.106704712,2.089080811,2.071228027,2.156906128,1.1,0.11,0,,8.923741845,224,,,,,0,8.838632565,,,,8.306614793,9.069546589,,,,,,,,
1.116666667,9.100339669,3.67474032,24.84084489,911.8144073,9.009805096,8.482195375,9.240040958,2.106704712,2.089004517,2.071228027,2.157211304,1.116666667,0.111666667,0,,8.934486706,224,,,,,0,8.843952133,,,,8.316342411,9.074187994,,,,,,,,
1.133333333,9.100000588,3.735955075,24.83359605,911.7633301,9.010483258,8.482195375,9.234954746,2.106628418,2.089080811,2.071228027,2.15713501,1.133333333,0.113333333,0,,8.931363917,225,,,,,0,8.841846586,,,,8.313558703,9.066318074,,,,,,,,
1.15,9.104408639,4.675508821,24.83504582,911.7973816,9.014891308,8.482534455,9.234615665,2.106781006,2.089080811,2.071228027,2.157058716,1.15,0.115,0,,8.893366832,224,,,,,0,8.803849501,,,,8.271492649,9.023573858,,,,,,,,
1.166666667,9.104747719,6.158575395,24.84084489,911.7803558,9.018960278,8.482534455,9.234954746,2.106704712,2.089080811,2.071304321,2.15713501,1.166666667,0.116666667,0,,8.826791213,224,,,,,0,8.741003772,,,,8.204577949,8.95699824,,,,,,,,
1.183333333,9.104408639,5.5566303,24.84519417,911.7633301,9.018960278,8.482534455,9.233937503,2.106781006,2.089080811,2.071151733,2.156906128,1.183333333,0.118333333,0,,8.853638501,225,,,,,0,8.76819014,,,,8.231764318,8.983167366,,,,,,,,
1.2,9.104069558,6.050058329,24.83504582,911.7803558,9.018621197,8.482195375,9.234615665,2.106552124,2.089080811,2.071228027,2.157058716,1.2,0.12,0,,8.830983721,224,,,,,0,8.74553536,,,,8.209109537,8.961529828,,,,,,,,
1.216666667,9.104069558,3.900121919,24.84809367,911.8314331,9.018960278,8.482534455,9.233937503,2.10647583,2.089004517,2.071304321,2.157058716,1.216666667,0.121666667,0,,8.928066184,224,,,,,0,8.842956904,,,,8.306531082,9.05793413,,,,,,,,
1.233333333,9.107460366,4.069853741,24.85099318,911.7803558,9.019638439,8.482195375,9.235293827,2.10647583,2.089004517,2.071151733,2.156906128,1.233333333,0.123333333,0,,8.923806486,225,,,,,0,8.835984559,,,,8.298541494,9.051639947,,,,,,,,
1.25,9.108477608,3.722970127,24.85679216,911.7973816,9.018960278,8.482534455,9.228512211,2.106704712,2.089080811,2.071304321,2.15713501,1.25,0.125,0,,8.94049363,224,,,,,0,8.850976299,,,,8.314550477,9.060528232,,,,,,,,
1.266666667,9.108138527,3.84725463,24.84519417,911.8144073,9.025741894,8.482195375,9.228851291,2.106704712,2.089004517,2.071151733,2.156982422,1.266666667,0.126666667,0,,8.934512333,224,,,,,0,8.852115699,,,,8.30856918,9.055225097,,,,,,,,
1.283333333,9.107799447,3.614453061,24.84374441,911.7633301,9.018621197,8.482534455,9.228851291,2.106704712,2.089080811,2.071228027,2.157211304,1.283333333,0.128333333,0,,8.944675523,225,,,,,0,8.855497273,,,,8.319410532,9.065727368,,,,,,,,
1.3,9.114920143,5.084534687,24.86114137,911.7803558,9.018960278,8.482195375,9.234615665,2.106552124,2.089080811,2.071304321,2.157058716,1.3,0.13,0,,8.885518096,224,,,,,0,8.78955823,,,,8.252793327,9.005213618,,,,,,,,
1.316666667,9.114241982,4.28781537,24.84809367,911.7633301,9.015230389,8.482195375,9.234276584,2.106781006,2.089157104,2.071075439,2.157211304,1.316666667,0.131666667,0,,8.92074291,224,,,,,0,8.821731317,,,,8.288696303,9.040777513,,,,,,,,
1.333333333,9.114241982,3.777692408,24.84664392,911.8314331,9.010483258,8.482534455,9.234615665,2.106628418,2.089080811,2.071304321,2.156982422,1.333333333,0.133333333,0,,8.943759345,225,,,,,0,8.84000062,,,,8.312051818,9.064133028,,,,,,,,
1.35,9.114581063,3.589410661,24.85099318,911.8654846,9.009805096,8.482195375,9.234276584,2.106704712,2.089004517,2.071304321,2.156982422,1.35,0.135,0,,8.952607381,224,,,,,0,8.847831414,,,,8.320221693,9.072302902,,,,,,,,
1.366666667,9.115259224,3.722042631,24.84374441,911.7803558,9.004379803,8.482195375,9.234615665,2.106628418,2.089157104,2.071151733,2.157058716,1.366666667,0.136666667,0,,8.947279675,224,,,,,0,8.836400254,,,,8.314215825,9.066636115,,,,,,,,
1.383333333,9.114920143,3.532833387,24.84229465,911.7973816,9.004040722,8.482195375,9.240380039,2.106704712,2.088851929,2.071151733,2.15713501,1.383333333,0.138333333,0,,8.95547585,225,,,,,0,8.844596429,,,,8.322751081,9.080935745,,,,,,,,
1.4,9.114581063,3.605178098,24.84084489,911.7633301,9.009466015,8.482534455,9.234615665,2.106704712,2.088928223,2.071075439,2.156982422,1.4,0.14,0,,8.951867668,224,,,,,0,8.846752621,,,,8.319821061,9.071902271,,,,,,,,
1.416666667,9.113902901,3.561585772,24.83794536,911.7803558,9.009805096,8.482195375,9.2410582,2.106704712,2.089004517,2.071151733,2.157058716,1.416666667,0.141666667,0,,8.953149006,224,,,,,0,8.849051201,,,,8.32144148,9.080304305,,,,,,,,
1.433333333,9.114920143,3.588483164,24.84954343,911.7973816,9.010144177,8.482195375,9.2410582,2.106704712,2.089080811,2.071228027,2.15713501,1.433333333,0.143333333,0,,8.952984307,225,,,,,0,8.84820834,,,,8.320259538,9.079122363,,,,,,,,
1.45,9.120684517,3.868587045,24.84229465,911.7973816,9.010483258,8.482195375,9.240380039,2.106781006,2.089004517,2.071151733,2.157211304,1.45,0.145,0,,8.946086946,224,,,,,0,8.835885686,,,,8.307597803,9.065782467,,,,,,,,
1.466666667,9.113224739,3.754505001,24.83214628,911.7973816,9.010144177,8.482195375,9.240719119,2.106628418,2.089080811,2.071151733,2.157211304,1.466666667,0.146666667,0,,8.943746546,224,,,,,0,8.840665984,,,,8.312717181,9.071240926,,,,,,,,
1.483333333,9.114581063,5.301568819,24.83649559,911.7973816,9.004379803,8.482195375,9.2410582,2.106704712,2.089080811,2.071075439,2.157058716,1.483333333,0.148333333,0,,8.875286264,225,,,,,0,8.765085005,,,,8.242900576,9.001763401,,,,,,,,
1.5,9.108477608,4.771968436,24.82924673,911.7803558,9.003701642,8.482195375,9.240380039,2.106704712,2.088851929,2.071151733,2.157058716,1.5,0.15,0,,8.893060483,224,,,,,0,8.788284516,,,,8.266778249,9.024962913,,,,,,,,
1.516666667,9.104408639,3.773982423,24.84519417,911.7973816,8.997937268,8.482195375,9.239701877,2.10647583,2.089080811,2.071151733,2.156906128,1.516666667,0.151666667,0,,8.934089211,224,,,,,0,8.827617841,,,,8.311875947,9.06938245,,,,,,,,
1.533333333,9.10067875,3.794387342,24.84374441,911.7633301,8.996580945,8.482534455,9.245466251,2.106781006,2.089004517,2.071228027,2.15713501,1.533333333,0.153333333,0,,8.92943421,225,,,,,0,8.825336405,,,,8.311289916,9.074221711,,,,,,,,
1.55,9.089828164,3.600540616,24.82779695,911.8144073,8.993868299,8.482195375,9.245466251,2.106628418,2.089004517,2.071304321,2.15713501,1.55,0.155,0,,8.927287832,224,,,,,0,8.831327966,,,,8.319655042,9.082925918,,,,,,,,
1.566666667,9.081690225,3.968756645,24.84084489,911.7803558,8.992851056,8.482195375,9.245466251,2.106628418,2.089080811,2.071151733,2.156829834,1.566666667,0.156666667,0,,8.90256735,224,,,,,0,8.813728181,,,,8.3030725,9.066343376,,,,,,,,
1.583333333,9.077960336,5.166154361,24.83794536,911.7633301,8.987764844,8.482195375,9.240719119,2.1068573,2.089004517,2.071228027,2.15713501,1.583333333,0.158333333,0,,8.844783463,225,,,,,0,8.754587971,,,,8.249018501,9.007542246,,,,,,,,
1.6,9.07117872,3.879717001,24.83504582,911.8314331,8.98166139,8.482195375,9.240380039,2.1068573,2.089080811,2.071304321,2.15713501,1.6,0.16,0,,8.896057142,224,,,,,0,8.806539811,,,,8.307073796,9.06525846,,,,,,,,
1.616666667,9.065414347,3.738737564,24.83504582,911.7973816,8.987086683,8.482534455,9.240040958,2.106628418,2.089080811,2.071228027,2.15713501,1.616666667,0.161666667,0,,8.896656259,224,,,,,0,8.818328594,,,,8.313776367,9.07128287,,,,,,,,
1.633333333,9.060667216,3.883426986,24.83359605,911.7973816,8.987425763,8.482195375,9.2410582,2.106704712,2.089080811,2.071228027,2.15713501,1.633333333,0.163333333,0,,8.885373834,225,,,,,0,8.812132381,,,,8.306901992,9.065764818,,,,,,,,
