Latest: Time (min),Latest: Dissolved Oxygen 1 (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV4 (V),Latest: FlowV3 (V),Latest: Potential (V),Latest: Potential 2 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0.166666667,6.415321485,16.8192178,25.66989092,101.684125,6.798143706,6.522810089,6.421424927,2.100143433,2.065734863,2.034835815,2.100982666,0.166666667,0.016666667,0,,5.666641864,224,,,,,0,6.049464084,,,,5.672745305,5.774130467,,,,,,
0.183333333,6.419051374,16.79603039,25.6640943,101.6789688,6.803229918,6.52314917,6.416677795,2.100219727,2.065658569,2.034912109,2.100982666,0.183333333,0.018333333,0,,5.671333319,225,,,,,0,6.055511863,,,,5.668959741,5.775431115,,,,,,
0.2,6.418712293,16.79046541,25.66119599,101.6789688,6.802551757,6.523488251,6.418034119,2.099990845,2.065887451,2.034912109,2.100982666,0.2,0.02,0,,5.671206687,224,,,,,0,6.05504615,,,,5.670528512,5.775982644,,,,,,
0.216666667,6.418373213,16.80901534,25.66264515,101.6875625,6.806620726,6.523488251,6.410574341,2.100219727,2.065811157,2.034835815,2.10105896,0.216666667,0.021666667,0,,5.670059436,224,,,,,0,6.058306949,,,,5.662260564,5.775174474,,,,,,
0.233333333,6.418373213,16.81272532,25.67423838,101.6755313,6.807637969,6.522471008,6.409896179,2.099914551,2.065734863,2.034835815,2.10105896,0.233333333,0.023333333,0,,5.670035561,225,,,,,0,6.059300317,,,,5.661558528,5.774133357,,,,,,
0.25,6.419390455,16.80623285,25.67134007,101.6789688,6.807637969,6.523488251,6.410574341,2.100219727,2.065582275,2.034912109,2.10105896,0.25,0.025,0,,5.671306488,224,,,,,0,6.059554002,,,,5.662490374,5.775404284,,,,,,
0.266666667,6.418373213,16.80530535,25.67423838,101.6824063,6.807977049,6.528574463,6.41023526,2.100143433,2.065734863,2.034683228,2.100753784,0.266666667,0.026666667,0,,5.670365826,224,,,,,0,6.059969662,,,,5.662227873,5.780567076,,,,,,
0.283333333,6.418373213,16.81179783,25.67134007,101.6806875,6.80831613,6.530608948,6.411252502,2.100296021,2.065658569,2.034759521,2.100982666,0.283333333,0.028333333,0,,5.670041536,225,,,,,0,6.059984453,,,,5.662920825,5.782277271,,,,,,
0.3,6.422442182,16.80716035,25.6640943,101.6824063,6.80831613,6.529930786,6.404470886,2.100067139,2.065734863,2.034835815,2.100906372,0.3,0.03,0,,5.674228649,224,,,,,0,6.060102597,,,,5.656257353,5.781717253,,,,,,
0.316666667,6.423459425,16.80530535,25.66264515,101.6858438,6.813063261,6.529591705,6.405488129,2.100372314,2.065734863,2.034683228,2.100982666,0.316666667,0.031666667,0,,5.675310811,224,,,,,0,6.064914648,,,,5.657339515,5.781443092,,,,,,
0.333333333,6.423120344,16.80716035,25.66699261,101.6858438,6.813741423,6.529930786,6.404470886,2.100143433,2.065582275,2.035064697,2.10105896,0.333333333,0.033333333,0,,5.674942129,225,,,,,0,6.065563208,,,,5.656292671,5.781752571,,,,,,
0.35,6.423120344,16.82942026,25.65974684,101.6824063,6.812046019,6.529591705,6.405827209,2.100067139,2.065734863,2.034683228,2.100982666,0.35,0.035,0,,5.673862792,224,,,,,0,6.062788467,,,,5.656569658,5.780334154,,,,,,
0.366666667,6.418712293,16.81272532,25.6640943,101.6824063,6.817810393,6.529930786,6.405827209,2.100296021,2.065811157,2.034835815,2.100982666,0.366666667,0.036666667,0,,5.670251021,224,,,,,0,6.06934912,,,,5.657365937,5.781469514,,,,,,
0.383333333,6.418712293,16.81643531,25.6640943,101.6858438,6.818149473,6.528913544,6.405149048,2.100143433,2.065658569,2.034759521,2.100982666,0.383333333,0.038333333,0,,5.670085862,225,,,,,0,6.069523042,,,,5.656522616,5.780287112,,,,,,
0.4,6.423459425,16.80716035,25.66554346,101.6858438,6.824931089,6.529930786,6.405827209,2.100143433,2.065734863,2.034759521,2.100982666,0.4,0.04,0,,5.675263552,224,,,,,0,6.076735216,,,,5.657631336,5.781734913,,,,,,
0.416666667,6.418373213,16.82756527,25.66699261,101.6858438,6.824931089,6.529591705,6.405149048,2.100143433,2.065505981,2.034759521,2.100982666,0.416666667,0.041666667,0,,5.669286664,224,,,,,0,6.07584454,,,,5.656062499,5.780505156,,,,,,
0.433333333,6.418373213,16.83591273,25.66699261,101.6858438,6.830017301,6.52314917,6.404470886,2.100067139,2.065734863,2.034835815,2.100982666,0.433333333,0.043333333,0,,5.668915073,225,,,,,0,6.080559161,,,,5.655012746,5.77369103,,,,,,
0.45,6.419051374,16.80901534,25.65829768,101.6875625,6.830356382,6.523488251,6.409218018,2.100143433,2.065505981,2.034988403,2.10105896,0.45,0.045,0,,5.670684594,224,,,,,0,6.081989602,,,,5.660851238,5.775121471,,,,,,
0.466666667,6.419051374,16.8182903,25.65539937,101.684125,6.830356382,6.522810089,6.408878937,2.100067139,2.065658569,2.034759521,2.100982666,0.466666667,0.046666667,0,,5.670236292,224,,,,,0,6.0815413,,,,5.660063855,5.773995007,,,,,,
0.483333333,6.418373213,16.81643531,25.64960274,101.6858438,6.830356382,6.523488251,6.41023526,2.100219727,2.065582275,2.035064697,2.10105896,0.483333333,0.048333333,0,,5.669569977,225,,,,,0,6.081553147,,,,5.661432025,5.774685015,,,,,,
0.5,6.418712293,16.8182903,25.65250105,101.684125,6.82527017,6.517723877,6.410574341,2.100067139,2.065734863,2.034835815,2.10105896,0.5,0.05,0,,5.669861839,224,,,,,0,6.076419715,,,,5.661723886,5.768873422,,,,,,
0.516666667,6.419390455,16.8192178,25.65250105,101.6875625,6.824931089,6.517723877,6.410574341,2.099914551,2.065658569,2.034988403,2.10105896,0.516666667,0.051666667,0,,5.670498703,224,,,,,0,6.076039337,,,,5.661682589,5.768832125,,,,,,
0.533333333,6.418712293,16.82849276,25.64090779,101.6806875,6.818149473,6.518402039,6.408878937,2.100219727,2.065582275,2.034912109,2.10105896,0.533333333,0.053333333,0,,5.669265912,225,,,,,0,6.068703092,,,,5.659432556,5.768955658,,,,,,
0.55,6.423459425,16.83591273,25.64235695,101.6806875,6.824931089,6.513315826,6.409557098,2.100067139,2.065505981,2.034759521,2.100982666,0.55,0.055,0,,5.673700321,224,,,,,0,6.075171986,,,,5.659797995,5.763556723,,,,,,
0.566666667,6.422442182,16.82663777,25.64670442,101.6858438,6.824931089,6.514333069,6.404131805,2.099990845,2.065505981,2.034759521,2.100906372,0.566666667,0.056666667,0,,5.673149246,224,,,,,0,6.075638153,,,,5.654838869,5.765040132,,,,,,
0.583333333,6.422103101,16.83684023,25.64670442,101.6806875,6.82527017,6.514333069,6.405149048,2.100067139,2.065582275,2.034988403,2.100982666,0.583333333,0.058333333,0,,5.672355848,225,,,,,0,6.075522916,,,,5.655401794,5.764585815,,,,,,
0.6,6.429223798,16.83498524,25.64670442,101.684125,6.824931089,6.513654907,6.401080078,2.100143433,2.065582275,2.034683228,2.100830078,0.6,0.06,0,,5.679559148,224,,,,,0,6.075266439,,,,5.651415428,5.763990257,,,,,,
0.616666667,6.428206556,16.83405774,25.64090779,101.6806875,6.82527017,6.513654907,6.400740997,2.099914551,2.065658569,2.03453064,2.100982666,0.616666667,0.061666667,0,,5.678512342,224,,,,,0,6.075575956,,,,5.651046783,5.763960693,,,,,,
0.633333333,6.428884717,16.82849276,25.65250105,101.6892813,6.825609251,6.513654907,6.402097321,2.100067139,2.065658569,2.034835815,2.100830078,0.633333333,0.063333333,0,,5.679579989,225,,,,,0,6.076304522,,,,5.652792592,5.764350178,,,,,,
0.65,6.43431001,16.82663777,25.64090779,101.6875625,6.825609251,6.514333069,6.402436401,2.100143433,2.065582275,2.034835815,2.100906372,0.65,0.065,0,,5.68494624,224,,,,,0,6.076245481,,,,5.653072631,5.764969299,,,,,,
0.666666667,6.435666333,16.82942026,25.62786534,101.6755313,6.82527017,6.513315826,6.396672028,2.100219727,2.065582275,2.034759521,2.100982666,0.666666667,0.066666667,0,,5.686019132,224,,,,,0,6.075622968,,,,5.647024826,5.763668625,,,,,,
0.683333333,6.433292768,16.82942026,25.62641617,101.6892813,6.818827635,6.507212372,6.396672028,2.100143433,2.065658569,2.034988403,2.100982666,0.683333333,0.068333333,0,,5.683627833,225,,,,,0,6.0691627,,,,5.647007092,5.757547437,,,,,,
0.7,6.441769788,16.83869522,25.61772119,101.6927188,6.819505796,6.506873291,6.39768927,2.100219727,2.065734863,2.034759521,2.100982666,0.7,0.07,0,,5.6915852,224,,,,,0,6.069321209,,,,5.647504682,5.756688703,,,,,,
0.716666667,6.441091626,16.83962272,25.61482286,101.6858438,6.813741423,6.506873291,6.390907654,2.099990845,2.065658569,2.034912109,2.10105896,0.716666667,0.071666667,0,,5.6908302,224,,,,,0,6.063479996,,,,5.640646227,5.756611865,,,,,,
0.733333333,6.445838757,16.82200029,25.61047536,101.684125,6.812046019,6.505856049,6.392263977,2.100143433,2.065811157,2.034759521,2.100982666,0.733333333,0.073333333,0,,5.696309234,225,,,,,0,6.062516495,,,,5.642734454,5.756326525,,,,,,
0.75,6.446177838,16.82014529,25.61482286,101.67725,6.813741423,6.501108917,6.391585815,2.099990845,2.065658569,2.034759521,2.100982666,0.75,0.075,0,,5.696784196,224,,,,,0,6.064347781,,,,5.642192173,5.751715275,,,,,,
0.766666667,6.446516919,16.83220275,25.61337369,101.6858438,6.807637969,6.501787079,6.383108795,2.100143433,2.065505981,2.034759521,2.100906372,0.766666667,0.076666667,0,,5.696568323,224,,,,,0,6.057689373,,,,5.633160199,5.751838483,,,,,,
0.783333333,6.446516919,16.83220275,25.60902619,101.6824063,6.806620726,6.501108917,6.383447876,2.100143433,2.065582275,2.034835815,2.100982666,0.783333333,0.078333333,0,,5.69651505,225,,,,,0,6.056618857,,,,5.633446007,5.751107048,,,,,,
0.8,6.445838757,16.83313024,25.60033118,101.6755313,6.803229918,6.501108917,6.379717987,2.100219727,2.065658569,2.034912109,2.10105896,0.8,0.08,0,,5.695688957,224,,,,,0,6.053080118,,,,5.629568187,5.750959117,,,,,,
0.816666667,6.446516919,16.83684023,25.58583947,101.684125,6.803229918,6.501447998,6.381413391,2.099990845,2.065887451,2.034606934,2.100982666,0.816666667,0.081666667,0,,5.696023919,224,,,,,0,6.052736919,,,,5.630920392,5.750954998,,,,,,
0.833333333,6.446516919,16.82478278,25.59163616,101.6892813,6.798143706,6.500769836,6.381752472,2.100372314,2.065887451,2.034912109,2.100982666,0.833333333,0.083333333,0,,5.696632493,225,,,,,0,6.04825928,,,,5.631868046,5.750885411,,,,,,
0.85,6.446516919,16.8192178,25.56700017,101.6875625,6.803229918,6.501108917,6.381752472,2.100296021,2.065811157,2.034912109,2.100982666,0.85,0.085,0,,5.696578154,224,,,,,0,6.053291153,,,,5.631813707,5.751170152,,,,,,
0.866666667,6.446516919,16.82385528,25.56265263,101.6858438,6.802890837,6.496361786,6.37666626,2.100143433,2.065734863,2.034683228,2.100906372,0.866666667,0.086666667,0,,5.696317945,224,,,,,0,6.052691863,,,,5.626467286,5.746162812,,,,,,
0.883333333,6.446516919,16.82571027,25.56844935,101.6806875,6.803229918,6.496700867,6.37666626,2.100296021,2.065811157,2.034912109,2.100982666,0.883333333,0.088333333,0,,5.696306475,225,,,,,0,6.053019475,,,,5.626455816,5.746490423,,,,,,
0.9,6.450924969,16.81087033,25.56410181,101.6892813,6.802551757,6.496361786,6.376327179,2.099990845,2.065811157,2.034912109,2.100906372,0.9,0.09,0,,5.701322811,224,,,,,0,6.052949598,,,,5.626725021,5.746759627,,,,,,
0.916666667,6.450585888,16.83313024,25.55395754,101.691,6.797804625,6.496700867,6.37666626,2.100219727,2.065582275,2.034835815,2.100906372,0.916666667,0.091666667,0,,5.699866355,224,,,,,0,6.047085092,,,,5.625946726,5.745981333,,,,,,
0.933333333,6.450924969,16.81643531,25.55250836,101.6858438,6.798482787,6.496700867,6.376327179,2.100296021,2.065811157,2.034835815,2.100753784,0.933333333,0.093333333,0,,5.700932173,225,,,,,0,6.048489991,,,,5.626334383,5.746708071,,,,,,
0.95,6.457367504,16.83034775,25.54671162,101.6892813,6.790344848,6.496022705,6.37666626,2.100219727,2.065734863,2.034759521,2.100982666,0.95,0.095,0,,5.706682878,224,,,,,0,6.039660221,,,,5.625981633,5.745338078,,,,,,
0.966666667,6.458384747,16.82107279,25.55105917,101.6789688,6.791023009,6.501787079,6.376327179,2.100296021,2.065734863,2.034835815,2.100906372,0.966666667,0.096666667,0,,5.708167299,224,,,,,0,6.040805562,,,,5.626109731,5.751569631,,,,,,
0.983333333,6.458045666,16.82478278,25.54960999,101.6875625,6.784580474,6.501447998,6.36852832,2.100524902,2.065734863,2.034988403,2.10105896,0.983333333,0.098333333,0,,5.707644922,225,,,,,0,6.034179731,,,,5.618127577,5.751047254,,,,,,
1,6.457367504,16.83220275,25.53366892,101.6944375,6.785597717,6.501787079,6.370562805,2.100219727,2.065658569,2.034912109,2.101135254,1,0.1,0,,5.706439465,224,,,,,0,6.034669678,,,,5.619634766,5.75085904,,,,,,
1.016666667,6.457367504,16.8192178,25.53511811,101.691,6.784919555,6.501108917,6.359373138,2.100067139,2.065658569,2.034683228,2.100906372,1.016666667,0.101666667,0,,5.707036604,224,,,,,0,6.034588655,,,,5.609042238,5.750778017,,,,,,
1.033333333,6.457028424,16.83405774,25.53946568,101.6927188,6.785936798,6.50212616,6.3600513,2.100372314,2.065811157,2.034683228,2.100982666,1.033333333,0.103333333,0,,5.706089067,225,,,,,0,6.03499744,,,,5.609111943,5.751186803,,,,,,
1.05,6.457367504,16.8192178,25.54091487,101.67725,6.781528747,6.501108917,6.355304169,2.100219727,2.066040039,2.034683228,2.100906372,1.05,0.105,0,,5.707107971,224,,,,,0,6.031269214,,,,5.605044636,5.750849384,,,,,,
1.066666667,6.457706585,16.83220275,25.53801649,101.6875625,6.781189666,6.501108917,6.349200714,2.100219727,2.065505981,2.034683228,2.100982666,1.066666667,0.106666667,0,,5.706832122,224,,,,,0,6.030315203,,,,5.598326251,5.750234454,,,,,,
1.083333333,6.458723828,16.8442602,25.52932135,101.6858438,6.781189666,6.496022705,6.349539795,2.100067139,2.065734863,2.034606934,2.100982666,1.083333333,0.108333333,0,,5.707204243,225,,,,,0,6.029670082,,,,5.59802021,5.744503121,,,,,,
1.1,6.458045666,16.83127525,25.52207538,101.691,6.781528747,6.496700867,6.350217957,2.100143433,2.065734863,2.034683228,2.100906372,1.1,0.11,0,,5.707016059,224,,,,,0,6.030499141,,,,5.59918835,5.74567126,,,,,,
1.116666667,6.457367504,16.82478278,25.52642296,101.6927188,6.781867828,6.496700867,6.342419098,2.099990845,2.065734863,2.034835815,2.100982666,1.116666667,0.111666667,0,,5.706681197,224,,,,,0,6.031181521,,,,5.591732791,5.74601456,,,,,,
1.133333333,6.457367504,16.82385528,25.52787215,101.6858438,6.781189666,6.496361786,6.336993805,2.100219727,2.065887451,2.034759521,2.100906372,1.133333333,0.113333333,0,,5.706740442,225,,,,,0,6.030562604,,,,5.586366742,5.745734723,,,,,,
1.15,6.457706585,16.82849276,25.52207538,101.6858438,6.780850586,6.491614655,6.333263916,2.100372314,2.065811157,2.034835815,2.100982666,1.15,0.115,0,,5.706801136,224,,,,,0,6.029945137,,,,5.582358467,5.740709206,,,,,,
1.166666667,6.457028424,16.83405774,25.52207538,101.691,6.784919555,6.491275574,6.328177704,2.100219727,2.065734863,2.034759521,2.10105896,1.166666667,0.116666667,0,,5.705874659,224,,,,,0,6.033765791,,,,5.57702394,5.740121809,,,,,,
1.183333333,6.458045666,16.83313024,25.52352457,101.6789688,6.784580474,6.490936493,6.322074249,2.100219727,2.065658569,2.034912109,2.100906372,1.183333333,0.118333333,0,,5.706951165,225,,,,,0,6.033485973,,,,5.570979748,5.739841992,,,,,,
1.2,6.458045666,16.82478278,25.53077054,101.6875625,6.790683929,6.491275574,6.316648956,2.100219727,2.065811157,2.034759521,2.100906372,1.2,0.12,0,,5.70741294,224,,,,,0,6.040051203,,,,5.56601623,5.740642848,,,,,,
1.216666667,6.457706585,16.85817264,25.52642296,101.67725,6.797465545,6.491275574,6.31393631,2.100143433,2.065811157,2.034759521,2.100982666,1.216666667,0.121666667,0,,5.705530493,224,,,,,0,6.045289452,,,,5.561760217,5.739099481,,,,,,
1.233333333,6.457367504,16.83776772,25.52497377,101.6875625,6.802551757,6.491275574,6.301729401,2.100143433,2.065734863,2.034759521,2.10105896,1.233333333,0.123333333,0,,5.706083958,225,,,,,0,6.051268211,,,,5.550445855,5.739992028,,,,,,
1.25,6.462453716,16.84797018,25.52062618,101.6927188,6.807637969,6.491614655,6.295625946,2.100296021,2.065811157,2.034835815,2.100982666,1.25,0.125,0,,5.710661269,224,,,,,0,6.055845521,,,,5.543833499,5.739822207,,,,,,
1.266666667,6.46381004,16.83034775,25.51917699,101.6961563,6.812724181,6.491275574,6.292574219,2.100372314,2.065811157,2.034988403,2.10105896,1.266666667,0.126666667,0,,5.712786065,224,,,,,0,6.061700206,,,,5.541550244,5.740251599,,,,,,
1.283333333,6.467200848,16.83034775,25.53366892,101.6858438,6.814080504,6.485172119,6.279350067,2.100296021,2.065811157,2.034683228,2.10105896,1.283333333,0.128333333,0,,5.716355565,225,,,,,0,6.063235221,,,,5.528504784,5.734326836,,,,,,
1.3,6.46821809,16.84055021,25.52497377,101.6875625,6.81679315,6.490597412,6.273246613,2.100143433,2.065963745,2.034454346,2.100982666,1.3,0.13,0,,5.716810392,224,,,,,0,6.065385452,,,,5.521838915,5.739189714,,,,,,
1.316666667,6.471947979,16.83405774,25.52352457,101.6892813,6.818488554,6.491275574,6.2681604,2.100296021,2.065734863,2.034835815,2.100982666,1.316666667,0.131666667,0,,5.720812092,224,,,,,0,6.067352668,,,,5.517024514,5.740139687,,,,,,
1.333333333,6.471269817,16.83869522,25.52352457,101.6944375,6.818827635,6.491275574,6.264430511,2.100372314,2.065811157,2.034683228,2.100982666,1.333333333,0.133333333,0,,5.719927006,225,,,,,0,6.067484824,,,,5.513087701,5.739932763,,,,,,
1.35,6.477712352,16.83127525,25.52642296,101.6806875,6.818149473,6.491953735,6.257987976,2.100372314,2.065811157,2.034835815,2.100982666,1.35,0.135,0,,5.726736365,224,,,,,0,6.067173486,,,,5.507011989,5.740977748,,,,,,
1.366666667,6.471269817,16.83034775,25.52352457,101.691,6.819166716,6.484833038,6.253240845,2.100372314,2.065887451,2.034912109,2.10105896,1.366666667,0.136666667,0,,5.72029947,224,,,,,0,6.068196369,,,,5.502270498,5.733862692,,,,,,
1.383333333,6.472287059,16.82942026,25.52207538,101.6858438,6.82527017,6.485850281,6.246798309,2.100372314,2.065811157,2.034912109,2.100906372,1.383333333,0.138333333,0,,5.721340225,225,,,,,0,6.074323335,,,,5.495851474,5.734903446,,,,,,
1.4,6.472287059,16.8442602,25.52062618,101.6944375,6.825609251,6.485172119,6.245781067,2.100372314,2.065734863,2.034835815,2.100982666,1.4,0.14,0,,5.72066016,224,,,,,0,6.073982351,,,,5.494154167,5.733545219,,,,,,
1.416666667,6.47262614,16.82478278,25.51627859,101.691,6.824931089,6.484833038,6.240694855,2.100296021,2.065658569,2.034835815,2.100830078,1.416666667,0.141666667,0,,5.721814743,224,,,,,0,6.074119692,,,,5.489883457,5.734021641,,,,,,
1.433333333,6.471269817,16.84982518,25.51772779,101.691,6.824931089,6.485172119,6.241033936,2.100219727,2.065734863,2.034912109,2.100982666,1.433333333,0.143333333,0,,5.719358797,225,,,,,0,6.073020069,,,,5.489122915,5.733261099,,,,,,
1.45,6.472287059,16.83034775,25.51627859,101.6944375,6.824931089,6.485172119,6.241033936,2.100448608,2.065734863,2.034683228,2.100982666,1.45,0.145,0,,5.721227323,224,,,,,0,6.073871353,,,,5.489974199,5.734112383,,,,,,
1.466666667,6.471947979,16.85446266,25.51917699,101.6892813,6.824931089,6.485172119,6.235269562,2.100372314,2.065811157,2.034759521,2.100982666,1.466666667,0.146666667,0,,5.71984792,224,,,,,0,6.07283103,,,,5.483169503,5.73307206,,,,,,
1.483333333,6.471269817,16.82571027,25.52352457,101.6875625,6.824931089,6.484833038,6.241033936,2.100219727,2.065811157,2.034683228,2.10105896,1.483333333,0.148333333,0,,5.720506395,225,,,,,0,6.074167667,,,,5.490270513,5.734069616,,,,,,
1.5,6.472287059,16.84889768,25.52642296,101.684125,6.817132231,6.484833038,6.240694855,2.100372314,2.065734863,2.034683228,2.100906372,1.5,0.15,0,,5.720524796,224,,,,,0,6.065369968,,,,5.488932592,5.733070775,,,,,,
1.516666667,6.47262614,16.83684023,25.52787215,101.6892813,6.82086212,6.479746826,6.240694855,2.100143433,2.065887451,2.034759521,2.100982666,1.516666667,0.151666667,0,,5.72141973,224,,,,,0,6.06965571,,,,5.489488445,5.728540416,,,,,,
1.533333333,6.471947979,16.8442602,25.52352457,101.6806875,6.819166716,6.479746826,6.234930481,2.100219727,2.065734863,2.034759521,2.100982666,1.533333333,0.153333333,0,,5.720356859,225,,,,,0,6.067575596,,,,5.483339361,5.728155706,,,,,,
1.55,6.471947979,16.83313024,25.52062618,101.6892813,6.81679315,6.479746826,6.241373016,2.100372314,2.065887451,2.034912109,2.100982666,1.55,0.155,0,,5.720817721,224,,,,,0,6.065662893,,,,5.490242759,5.728616569,,,,,,
1.566666667,6.472287059,16.83034775,25.51917699,101.684125,6.816114989,6.480085907,6.239677612,2.100372314,2.065734863,2.034683228,2.100830078,1.566666667,0.156666667,0,,5.721263085,224,,,,,0,6.065091014,,,,5.488653638,5.729061932,,,,,,
1.583333333,6.47262614,16.83220275,25.52497377,101.6927188,6.819505796,6.480085907,6.241373016,2.100372314,2.065811157,2.034606934,2.100906372,1.583333333,0.158333333,0,,5.721590898,225,,,,,0,6.068470554,,,,5.490337774,5.729050665,,,,,,
1.6,6.472965221,16.8433327,25.52642296,101.6927188,6.821540281,6.480085907,6.241033936,2.100219727,2.065734863,2.034759521,2.100982666,1.6,0.16,0,,5.721451256,224,,,,,0,6.070026316,,,,5.48951997,5.728571942,,,,,,
1.616666667,6.472287059,16.82385528,25.5148294,101.6875625,6.818827635,6.479746826,6.240694855,2.100372314,2.066192627,2.034683228,2.100982666,1.616666667,0.161666667,0,,5.721499175,224,,,,,0,6.06803975,,,,5.48990697,5.728958942,,,,,,
1.633333333,6.479068675,16.84055021,25.51627859,101.691,6.818488554,6.475677856,6.24272934,2.100296021,2.065811157,2.034759521,2.100982666,1.633333333,0.163333333,0,,5.727553651,225,,,,,0,6.06697353,,,,5.491214315,5.724162832,,,,,,
1.65,6.478390514,16.82385528,25.52497377,101.6961563,6.817471312,6.475677856,6.240694855,2.100372314,2.065887451,2.034835815,2.100906372,1.65,0.165,0,,5.727727727,224,,,,,0,6.066808524,,,,5.490032068,5.725015069,,,,,,
1.666666667,6.483476726,16.83405774,25.51917699,101.6824063,6.818488554,6.475338776,6.242051178,2.100524902,2.065887451,2.034835815,2.101135254,1.666666667,0.166666667,0,,5.7322872,224,,,,,0,6.067299028,,,,5.490861652,5.72414925,,,,,,
