Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3(mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV2 (V),Latest: FlowV1 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h),Latest: FlowV4 (V),Latest: FlowV3 (V)
0.383333333,8.62,7.899485939,23.99522194,102.1395938,8.651873595,8.684425352,8.597281586,0.884399414,2.079162598,0.383333333,0.038333333,0,,8.258155025,225,,,,,0,8.29002862,,,,8.322580376,8.23543661,,,,,,,2.148208618,2.065811157
0.4,8.620339081,6.81060529,23.99957593,102.1413125,8.652890837,8.684086271,8.597959747,0.884017944,2.079086304,0.4,0.04,0,,8.308395864,224,,,,,0,8.34094762,,,,8.372143054,8.28601653,,,,,,,2.148284912,2.065887451
0.416666667,8.62,7.460780192,23.98796522,102.1361563,8.652890837,8.683069028,8.597620667,0.884170532,2.07901001,0.416666667,0.041666667,0,,8.27820599,224,,,,,0,8.311096828,,,,8.341275019,8.255826657,,,,,,,2.148208618,2.065811157
0.433333333,8.620678162,6.848632638,23.98651386,102.14475,8.652212676,8.684086271,8.597959747,0.88394165,2.079086304,0.433333333,0.043333333,0,,8.306919753,225,,,,,0,8.338454267,,,,8.370327862,8.284201339,,,,,,,2.148208618,2.065887451
0.45,8.62,6.855125112,23.98796522,102.1413125,8.652212676,8.684764432,8.596603424,0.883789063,2.079086304,0.45,0.045,0,,8.305952321,224,,,,,0,8.338164997,,,,8.370716754,8.282555745,,,,,,,2.148208618,2.065811157
0.466666667,8.621356323,6.869037556,23.9807084,102.1395938,8.658655211,8.684425352,8.597959747,0.88394165,2.07901001,0.466666667,0.046666667,0,,8.306630337,224,,,,,0,8.343929225,,,,8.369699366,8.283233761,,,,,,,2.148208618,2.065811157
0.483333333,8.620339081,6.844922653,23.98651386,102.1430313,8.665775908,8.677982816,8.597959747,0.88394165,2.079162598,0.483333333,0.048333333,0,,8.306750639,225,,,,,0,8.352187466,,,,8.364394375,8.284371305,,,,,,,2.148208618,2.065887451
0.5,8.620339081,6.857907601,23.9734515,102.1464688,8.671540281,8.677982816,8.597959747,0.88394165,2.07901001,0.5,0.05,0,,8.306082143,224,,,,,0,8.357283343,,,,8.363725879,8.283702809,,,,,,,2.148208618,2.065963745
0.516666667,8.620678162,6.882022504,23.97490289,102.1481875,8.67527017,8.665775908,8.597959747,0.883483887,2.078933716,0.516666667,0.051666667,0,,8.305324393,224,,,,,0,8.359916402,,,,8.350422139,8.282605979,,,,,,,2.148208618,2.065963745
0.533333333,8.619321838,6.887587482,23.97925703,102.1430313,8.673913847,8.666454069,8.597620667,0.883255005,2.079086304,0.533333333,0.053333333,0,,8.303737716,225,,,,,0,8.358329725,,,,8.350869947,8.282036544,,,,,,,2.148208618,2.065811157
0.55,8.618304596,6.864400075,23.97925703,102.1499063,8.675609251,8.656620726,8.596603424,0.883560181,2.079086304,0.55,0.055,0,,8.303782904,224,,,,,0,8.361087558,,,,8.342099034,8.282081732,,,,,,,2.148208618,2.065963745
0.566666667,8.619321838,6.878312519,23.98215977,102.14475,8.682729948,8.65831613,8.594568939,0.883331299,2.07901001,0.566666667,0.056666667,0,,8.304179094,224,,,,,0,8.367587203,,,,8.343173386,8.279426195,,,,,,,2.148208618,2.065734863
0.583333333,8.625764374,6.862545082,23.96909732,102.14475,8.682051786,8.657977049,8.593212616,0.884017944,2.078933716,0.583333333,0.058333333,0,,8.311270357,225,,,,,0,8.36755777,,,,8.343483033,8.2787186,,,,,,,2.148208618,2.065887451
0.6,8.625425293,6.888514979,23.96619451,102.1430313,8.682390867,8.652212676,8.592873535,0.883636475,2.07901001,0.6,0.06,0,,8.309724692,224,,,,,0,8.366690266,,,,8.336512075,8.277172934,,,,,,,2.148284912,2.065963745
0.616666667,8.631867828,7.048044341,23.9734515,102.14475,8.687137998,8.652551757,8.592873535,0.883712769,2.079162598,0.616666667,0.061666667,0,,8.308898059,224,,,,,0,8.364168229,,,,8.329581988,8.269903766,,,,,,,2.148208618,2.065963745
0.633333333,8.633902313,7.862386087,23.9734515,102.1499063,8.691885129,8.652551757,8.592873535,0.884017944,2.079086304,0.633333333,0.063333333,0,,8.273616126,225,,,,,0,8.331598943,,,,8.29226557,8.232587349,,,,,,,2.148284912,2.065887451
0.65,8.633902313,6.985902089,23.97490289,102.1464688,8.69663226,8.652212676,8.593212616,0.883636475,2.079086304,0.65,0.065,0,,8.313788488,224,,,,,0,8.376518435,,,,8.332098851,8.273098791,,,,,,,2.148208618,2.065887451
0.666666667,8.633224151,6.896862445,23.97490289,102.151625,8.702396634,8.647126464,8.592873535,0.883712769,2.078933716,0.666666667,0.066666667,0,,8.317190375,224,,,,,0,8.386362857,,,,8.331092687,8.276839759,,,,,,,2.148208618,2.065887451
0.683333333,8.633224151,6.874602534,23.96184027,102.1464688,8.702396634,8.647465545,8.593212616,0.883483887,2.078933716,0.683333333,0.068333333,0,,8.31813653,225,,,,,0,8.387309013,,,,8.332377924,8.278124995,,,,,,,2.148284912,2.065963745
0.7,8.633224151,6.881095008,23.97635427,102.1413125,8.702735715,8.647465545,8.592873535,0.883865356,2.07901001,0.7,0.07,0,,8.317921093,224,,,,,0,8.387432656,,,,8.332162486,8.277570477,,,,,,,2.148284912,2.065811157
0.716666667,8.631867828,6.867182564,23.96764592,102.1499063,8.703074795,8.648143706,8.593212616,0.884017944,2.079086304,0.716666667,0.071666667,0,,8.31715309,224,,,,,0,8.388360057,,,,8.333428968,8.278497878,,,,,,,2.148208618,2.065963745
0.733333333,8.631189666,6.882022504,23.9647431,102.1464688,8.702735715,8.647465545,8.593551697,0.884170532,2.07901001,0.733333333,0.073333333,0,,8.315778398,225,,,,,0,8.387324447,,,,8.332054277,8.278140429,,,,,,,2.148208618,2.065887451
0.75,8.63254599,7.705639214,23.96329169,102.14475,8.703413876,8.652212676,8.593890778,0.884094238,2.079086304,0.75,0.075,0,,8.279378188,224,,,,,0,8.350246075,,,,8.299044874,8.240722976,,,,,,,2.148208618,2.065811157
0.766666667,8.632206909,6.863472579,23.97925703,102.1464688,8.702396634,8.65831613,8.593551697,0.884170532,2.078933716,0.766666667,0.076666667,0,,8.317727713,224,,,,,0,8.387917439,,,,8.343836935,8.279072502,,,,,,,2.148284912,2.065963745
0.783333333,8.631189666,6.880167512,23.97635427,102.1481875,8.703074795,8.657637969,8.592873535,0.884399414,2.079086304,0.783333333,0.078333333,0,,8.315929107,225,,,,,0,8.387814237,,,,8.34237741,8.277612976,,,,,,,2.148208618,2.065811157
0.8,8.631867828,6.874602534,23.96764592,102.14475,8.703074795,8.657977049,8.592873535,0.884094238,2.079086304,0.8,0.08,0,,8.316813041,224,,,,,0,8.388020009,,,,8.342922263,8.277818748,,,,,,,2.148284912,2.065887451
0.816666667,8.63254599,8.024697939,23.9734515,102.1413125,8.698666745,8.657977049,8.592873535,0.88432312,2.079086304,0.816666667,0.081666667,0,,8.264822021,224,,,,,0,8.330942776,,,,8.29025308,8.225149566,,,,,,,2.148284912,2.065963745
0.833333333,8.632206909,7.0332044,23.97054872,102.1481875,8.703074795,8.657977049,8.593212616,0.884552002,2.079086304,0.833333333,0.083333333,0,,8.309900379,225,,,,,0,8.380768266,,,,8.33567052,8.270906086,,,,,,,2.148208618,2.065963745
0.85,8.626781616,6.866255067,23.97054872,102.1430313,8.702735715,8.657637969,8.593212616,0.884399414,2.079086304,0.85,0.085,0,,8.312125775,224,,,,,0,8.388079874,,,,8.342982128,8.278556775,,,,,,,2.148284912,2.065811157
0.866666667,8.626781616,6.881095008,23.97054872,102.1464688,8.702396634,8.657298888,8.592873535,0.884246826,2.078933716,0.866666667,0.086666667,0,,8.311445714,224,,,,,0,8.387060732,,,,8.341962986,8.277537633,,,,,,,2.148208618,2.065887451
0.883333333,8.627120697,6.920049853,23.95893743,102.14475,8.702735715,8.65831613,8.592873535,0.88394165,2.079086304,0.883333333,0.088333333,0,,8.309933532,225,,,,,0,8.38554855,,,,8.341128965,8.27568637,,,,,,,2.148284912,2.065887451
0.9,8.620678162,6.927469823,23.96764592,102.14475,8.703752957,8.652212676,8.593212616,0.883331299,2.078933716,0.9,0.09,0,,8.30320053,224,,,,,0,8.386275326,,,,8.334735045,8.275734985,,,,,,,2.148208618,2.065811157
0.916666667,8.621017242,6.896862445,23.97054872,102.1430313,8.708839169,8.652551757,8.593212616,0.883407593,2.079086304,0.916666667,0.091666667,0,,8.304958775,224,,,,,0,8.392780702,,,,8.33649329,8.277154149,,,,,,,2.148208618,2.065887451
0.933333333,8.61559195,6.867182564,23.9647431,102.14475,8.702057553,8.652212676,8.592873535,0.883178711,2.07901001,0.933333333,0.093333333,0,,8.300860814,225,,,,,0,8.387326417,,,,8.33748154,8.278142399,,,,,,,2.148208618,2.066040039
0.95,8.617287354,6.877385023,23.9734515,102.1464688,8.702396634,8.652212676,8.592873535,0.883178711,2.078933716,0.95,0.095,0,,8.302137882,224,,,,,0,8.387247162,,,,8.337063204,8.277724063,,,,,,,2.148284912,2.065811157
0.966666667,8.62,6.879240016,23.9647431,102.14475,8.703413876,8.64983911,8.593551697,0.882949829,2.078933716,0.966666667,0.096666667,0,,8.304716257,224,,,,,0,8.388130133,,,,8.334555367,8.278267954,,,,,,,2.148208618,2.065887451
0.983333333,8.620339081,6.86811006,23.97054872,102.1413125,8.708839169,8.647126464,8.593212616,0.882873535,2.079162598,0.983333333,0.098333333,0,,8.305598233,225,,,,,0,8.394098321,,,,8.332385616,8.278471768,,,,,,,2.148208618,2.065887451
1,8.626103454,6.901499927,23.96619451,102.151625,8.713925381,8.647465545,8.593212616,0.882949829,2.078933716,1,0.1,0,,8.309807753,224,,,,,0,8.39762968,,,,8.331169843,8.276916915,,,,,,,2.148284912,2.065658569
1.016666667,8.626781616,7.116679067,23.9647431,102.1395938,8.719011593,8.640683929,8.593212616,0.882949829,2.079086304,1.016666667,0.101666667,0,,8.300615759,224,,,,,0,8.392845736,,,,8.314518072,8.267046759,,,,,,,2.148284912,2.065963745
1.033333333,8.626781616,6.907992401,23.96764592,102.1464688,8.720706997,8.639666686,8.593212616,0.883026123,2.078933716,1.033333333,0.103333333,0,,8.310196612,225,,,,,0,8.404121993,,,,8.323081682,8.276627612,,,,,,,2.148208618,2.065887451
1.05,8.632206909,6.862545082,23.97490289,102.14475,8.725454128,8.640344848,8.592873535,0.882949829,2.07901001,1.05,0.105,0,,8.317745651,224,,,,,0,8.41099287,,,,8.32588359,8.278412278,,,,,,,2.148208618,2.065963745
1.066666667,8.63288507,6.90057243,23.96764592,102.1481875,8.719350674,8.64136209,8.593551697,0.882720947,2.079162598,1.066666667,0.106666667,0,,8.316640114,224,,,,,0,8.403105718,,,,8.325117134,8.277306741,,,,,,,2.148132324,2.065887451
1.083333333,8.633224151,6.929324815,23.96764592,102.1464688,8.713925381,8.640683929,8.594229858,0.882492065,2.079086304,1.083333333,0.108333333,0,,8.315661508,225,,,,,0,8.396362738,,,,8.323121285,8.276667215,,,,,,,2.148208618,2.065963745
1.1,8.63695404,6.901499927,23.9531317,102.1499063,8.712908139,8.648482787,8.594229858,0.882034302,2.078933716,1.1,0.11,0,,8.320584145,224,,,,,0,8.396538243,,,,8.332112892,8.277859963,,,,,,,2.148284912,2.065811157
1.116666667,8.63695404,6.890369971,23.96038885,102.1481875,8.70917825,8.647804625,8.592873535,0.882492065,2.07901001,1.116666667,0.111666667,0,,8.321135512,224,,,,,0,8.393359721,,,,8.331986097,8.277055007,,,,,,,2.148208618,2.065887451
1.133333333,8.637632201,6.907064904,23.95168026,102.1481875,8.70917825,8.652212676,8.592873535,0.882797241,2.079162598,1.133333333,0.113333333,0,,8.320998949,225,,,,,0,8.392544997,,,,8.335579423,8.276240282,,,,,,,2.148208618,2.065963745
1.15,8.637293121,6.909847393,23.95022881,102.1499063,8.703074795,8.65831613,8.592534454,0.882797241,2.07901001,1.15,0.115,0,,8.320524054,224,,,,,0,8.386305729,,,,8.341547063,8.275765388,,,,,,,2.148284912,2.065963745
1.166666667,8.637632201,6.901499927,23.95458314,102.14475,8.69663226,8.666454069,8.588465485,0.883102417,2.079086304,1.166666667,0.116666667,0,,8.321270554,224,,,,,0,8.380270612,,,,8.350092421,8.272103837,,,,,,,2.148208618,2.065963745
1.183333333,8.632206909,7.617527066,23.95168026,102.151625,8.691885129,8.66679315,8.587109161,0.883026123,2.078857422,1.183333333,0.118333333,0,,8.283004692,225,,,,,0,8.342682913,,,,8.317590934,8.237906945,,,,,,,2.148208618,2.065887451
1.2,8.633224151,6.899644934,23.96619451,102.1533438,8.691206968,8.677304655,8.586770081,0.882949829,2.079086304,1.2,0.12,0,,8.317013464,224,,,,,0,8.374996281,,,,8.361093968,8.270559394,,,,,,,2.148208618,2.065811157
1.216666667,8.632206909,6.866255067,23.96619451,102.1395938,8.691546048,8.675948332,8.586431,0.882720947,2.07901001,1.216666667,0.121666667,0,,8.317526479,224,,,,,0,8.376865619,,,,8.361267902,8.27175057,,,,,,,2.148208618,2.065887451
1.233333333,8.630850586,6.871820045,23.96184027,102.14475,8.691546048,8.684086271,8.587109161,0.882644653,2.079086304,1.233333333,0.123333333,0,,8.315890496,225,,,,,0,8.376585959,,,,8.369126181,8.272149072,,,,,,,2.148208618,2.065887451
1.25,8.62440805,6.892224964,23.96184027,102.14475,8.687477079,8.685103513,8.586431,0.882415771,2.078933716,1.25,0.125,0,,8.308512731,224,,,,,0,8.371581759,,,,8.369208193,8.27053568,,,,,,,2.148208618,2.065887451
1.266666667,8.626442535,6.855125112,23.96329169,102.14475,8.687477079,8.685103513,8.585074677,0.88218689,2.079086304,1.266666667,0.126666667,0,,8.312255821,224,,,,,0,8.373290365,,,,8.370916799,8.270887962,,,,,,,2.148284912,2.065887451
1.283333333,8.627120697,7.66390188,23.96619451,102.1481875,8.686798917,8.68374719,8.584396515,0.88180542,2.079086304,1.283333333,0.128333333,0,,8.275884118,225,,,,,0,8.335562339,,,,8.332510612,8.233159937,,,,,,,2.148284912,2.065963745
1.3,8.625086212,6.864400075,23.95603457,102.1430313,8.687477079,8.683408109,8.584396515,0.881881714,2.079086304,1.3,0.13,0,,8.310433407,224,,,,,0,8.372824274,,,,8.368755304,8.26974371,,,,,,,2.148208618,2.065811157
1.316666667,8.628137939,7.670394354,23.9647431,102.151625,8.682729948,8.684086271,8.582701111,0.881729126,2.079086304,1.316666667,0.131666667,0,,8.276594653,224,,,,,0,8.331186661,,,,8.332542984,8.231157824,,,,,,,2.148284912,2.065887451
1.333333333,8.629155182,6.869037556,23.96038885,102.1481875,8.67527017,8.685103513,8.58236203,0.881347656,2.079086304,1.333333333,0.133333333,0,,8.314314419,225,,,,,0,8.360429408,,,,8.370262751,8.267521268,,,,,,,2.148208618,2.065734863
1.35,8.634919555,6.88573249,23.9531317,102.1481875,8.674592008,8.677643736,8.58236203,0.880889893,2.07901001,1.35,0.135,0,,8.319272451,224,,,,,0,8.358944904,,,,8.361996631,8.266714926,,,,,,,2.148208618,2.065734863
1.366666667,8.635258636,6.869965053,23.95893743,102.1499063,8.670523039,8.684425352,8.58236203,0.880661011,2.07901001,1.366666667,0.136666667,0,,8.320367156,224,,,,,0,8.355631559,,,,8.369533872,8.26747055,,,,,,,2.148284912,2.065963745
1.383333333,8.658655211,6.89315246,23.95458314,102.1499063,8.671540281,8.685442594,8.582022949,0.880279541,2.078933716,1.383333333,0.138333333,0,,8.342676207,225,,,,,0,8.355561277,,,,8.36946359,8.266043945,,,,,,,2.148208618,2.065887451
1.4,8.656620726,6.877385023,23.9647431,102.1481875,8.665436827,8.684086271,8.58236203,0.880050659,2.079086304,1.4,0.14,0,,8.341421999,224,,,,,0,8.3502381,,,,8.368887544,8.267163303,,,,,,,2.148208618,2.065887451
1.416666667,8.652212676,6.865327571,23.95603457,102.1464688,8.665775908,8.684086271,8.586431,0.880126953,2.079086304,1.416666667,0.141666667,0,,8.337517356,224,,,,,0,8.351080588,,,,8.369390951,8.27173568,,,,,,,2.148208618,2.065811157
1.433333333,8.651195433,6.887587482,23.96764592,102.1499063,8.6712012,8.690189725,8.588465485,0.880126953,2.078933716,1.433333333,0.143333333,0,,8.335545562,225,,,,,0,8.355551329,,,,8.374539854,8.272815613,,,,,,,2.148208618,2.065811157
1.45,8.65390808,6.862545082,23.96619451,102.1464688,8.6712012,8.68374719,8.589143646,0.880203247,2.07901001,1.45,0.145,0,,8.339397679,224,,,,,0,8.3566908,,,,8.369236789,8.274633245,,,,,,,2.148284912,2.065887451
1.466666667,8.650856353,6.997032045,23.96329169,102.1499063,8.675609251,8.689850644,8.591517212,0.880279541,2.07901001,1.466666667,0.146666667,0,,8.330165706,224,,,,,0,8.354918604,,,,8.369159997,8.270826565,,,,,,,2.148208618,2.065734863
1.483333333,8.650178191,6.872747542,23.96184027,102.1499063,8.682390867,8.689850644,8.591178131,0.880355835,2.078933716,1.483333333,0.148333333,0,,8.335175591,225,,,,,0,8.367388267,,,,8.374848045,8.276175531,,,,,,,2.148208618,2.065887451
1.5,8.648482787,6.882022504,23.9647431,102.1499063,8.68781616,8.684425352,8.589482727,0.880432129,2.078933716,1.5,0.15,0,,8.333071519,224,,,,,0,8.372404892,,,,8.369014084,8.274071459,,,,,,,2.148208618,2.065887451
1.516666667,8.643396575,6.874602534,23.96184027,102.1481875,8.691885129,8.684086271,8.588126404,0.880584717,2.079162598,1.516666667,0.151666667,0,,8.328308954,224,,,,,0,8.376797508,,,,8.36899865,8.273038783,,,,,,,2.148284912,2.065963745
1.533333333,8.641701171,7.669466858,23.9531317,102.1464688,8.691885129,8.68374719,8.587448242,0.880737305,2.07901001,1.533333333,0.153333333,0,,8.2901271,225,,,,,0,8.340311058,,,,8.332173119,8.235874171,,,,,,,2.148208618,2.065811157
1.55,8.636275878,6.874602534,23.94006859,102.1464688,8.691206968,8.677304655,8.587448242,0.881118774,2.07901001,1.55,0.155,0,,8.321065002,224,,,,,0,8.375996091,,,,8.362093779,8.272237366,,,,,,,2.148284912,2.065963745
1.566666667,8.636614959,6.891297467,23.94732591,102.1533438,8.691546048,8.66679315,8.587448242,0.88104248,2.078857422,1.566666667,0.156666667,0,,8.320679802,224,,,,,0,8.375610892,,,,8.350857993,8.271513085,,,,,,,2.148361206,2.065811157
1.583333333,8.634241394,6.894079956,23.93861712,102.14475,8.68781616,8.662046019,8.588126404,0.88142395,2.079086304,1.583333333,0.158333333,0,,8.318129201,225,,,,,0,8.371703967,,,,8.345933826,8.272014211,,,,,,,2.148208618,2.065734863
1.6,8.635597717,7.307743303,23.9299082,102.151625,8.687477079,8.657637969,8.589482727,0.881347656,2.078857422,1.6,0.16,0,,8.300465467,224,,,,,0,8.352344829,,,,8.322505719,8.254350478,,,,,,,2.148208618,2.065811157
1.616666667,8.634580474,6.908919897,23.93571416,102.14475,8.687137998,8.652212676,8.590160889,0.881500244,2.078857422,1.616666667,0.161666667,0,,8.317771297,224,,,,,0,8.37032882,,,,8.335403498,8.273351711,,,,,,,2.148208618,2.065811157
1.633333333,8.635258636,6.895934949,23.94587445,102.14475,8.68781616,8.647804625,8.591517212,0.881195068,2.078933716,1.633333333,0.163333333,0,,8.319102626,225,,,,,0,8.37166015,,,,8.331648616,8.275361202,,,,,,,2.148284912,2.065887451
1.65,8.640683929,6.911702386,23.94587445,102.1499063,8.692563291,8.647126464,8.591517212,0.881576538,2.07901001,1.65,0.165,0,,8.323805034,224,,,,,0,8.375684396,,,,8.330247569,8.274638317,,,,,,,2.148284912,2.065811157
1.666666667,8.63695404,6.882950001,23.94152006,102.1464688,8.691885129,8.647465545,8.592534454,0.88142395,2.079162598,1.666666667,0.166666667,0,,8.321368653,224,,,,,0,8.376299742,,,,8.331880158,8.276949067,,,,,,,2.148208618,2.065887451
