Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure 3 (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: FlowV2 (V),Latest: Potential (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0.216666667,8.985391279,3.619090542,24.11857303,911.5760468,8.535770141,8.507626434,8.423195316,2.159347534,2.106704712,2.089004517,2.247009277,0.216666667,0.021666667,0,,8.819979479,224,,,,,0,8.370358341,,,,8.342214635,8.257783517,,,,,,
0.233333333,8.981322309,3.645060438,24.12292615,911.5079437,8.535770141,8.507965515,8.423534397,2.159423828,2.106781006,2.088928223,2.247161865,0.233333333,0.023333333,0,,8.814736451,225,,,,,0,8.369184283,,,,8.341379657,8.256948539,,,,,,
0.25,8.988782087,3.620018038,24.12002408,911.5249695,8.540178191,8.508304596,8.423195316,2.159500122,2.106704712,2.089080811,2.247085571,0.25,0.025,0,,8.823332168,224,,,,,0,8.374728273,,,,8.342854678,8.257745397,,,,,,
0.266666667,8.988103925,3.60703309,24.12437719,911.5419952,8.540178191,8.508304596,8.428620609,2.159500122,2.106781006,2.089080811,2.247161865,0.266666667,0.026666667,0,,8.823260242,224,,,,,0,8.375334508,,,,8.343460913,8.263776925,,,,,,
0.283333333,8.988103925,3.607960587,24.12437719,911.559021,8.540178191,8.507287354,8.428959689,2.159729004,2.106704712,2.089157104,2.247161865,0.283333333,0.028333333,0,,8.823217854,225,,,,,0,8.37529212,,,,8.342401283,8.264073619,,,,,,
0.3,8.993190137,3.631147994,24.13163231,911.5930725,8.540178191,8.506948273,8.433028659,2.159423828,2.106704712,2.089080811,2.247085571,0.3,0.03,0,,8.827265801,224,,,,,0,8.374253855,,,,8.341023937,8.267104323,,,,,,
0.316666667,8.993190137,3.620945535,24.11712198,911.559021,8.53983911,8.506270111,8.43336774,2.159423828,2.106628418,2.089080811,2.247238159,0.316666667,0.031666667,0,,8.827689281,224,,,,,0,8.374338254,,,,8.340769255,8.267866883,,,,,,
0.333333333,8.99861543,3.613525564,24.12147512,911.5079437,8.538143706,8.504913788,8.437436709,2.159423828,2.106628418,2.089157104,2.247085571,0.333333333,0.033333333,0,,8.833466509,225,,,,,0,8.372994785,,,,8.339764867,8.272287788,,,,,,
0.35,8.998954511,3.660827875,24.13453434,911.5079437,8.540517272,8.506948273,8.443540164,2.159423828,2.106704712,2.089004517,2.247161865,0.35,0.035,0,,8.831682593,224,,,,,0,8.373245354,,,,8.339676355,8.276268246,,,,,,
0.366666667,8.998276349,3.600540616,24.11857303,911.559021,8.535770141,8.507626434,8.444218325,2.15965271,2.106628418,2.089080811,2.247390747,0.366666667,0.036666667,0,,8.833712381,224,,,,,0,8.371206172,,,,8.343062466,8.279654357,,,,,,
0.383333333,8.998276349,3.650625416,24.12727925,911.4398407,8.535770141,8.506948273,8.449304537,2.159500122,2.106704712,2.089157104,2.247161865,0.383333333,0.038333333,0,,8.831449082,225,,,,,0,8.368942873,,,,8.340121006,8.28247727,,,,,,
0.4,9.004379803,3.610743075,24.12002408,911.5249695,8.536109221,8.504913788,8.449643618,2.159576416,2.106781006,2.089233398,2.247238159,0.4,0.04,0,,8.839353789,224,,,,,0,8.371083208,,,,8.339887774,8.284617604,,,,,,
0.416666667,9.004040722,3.609815579,24.11421988,911.5419952,8.535091979,8.504913788,8.453712588,2.159347534,2.106781006,2.089080811,2.247009277,0.416666667,0.041666667,0,,8.839040055,224,,,,,0,8.370091311,,,,8.33991312,8.28871192,,,,,,
0.433333333,8.998276349,4.741361058,24.11857303,911.5249695,8.536448302,8.507965515,8.461172365,2.159500122,2.106704712,2.089004517,2.247085571,0.433333333,0.043333333,0,,8.781570783,225,,,,,0,8.319742737,,,,8.291259949,8.244466799,,,,,,
0.45,8.999632672,3.587555668,24.11276882,911.5079437,8.53543106,8.505252869,8.467275819,2.159500122,2.106704712,2.089004517,2.247238159,0.45,0.045,0,,8.835645244,224,,,,,0,8.371443632,,,,8.341265441,8.303288391,,,,,,
0.466666667,8.997937268,3.862094571,24.12873027,911.5760468,8.536109221,8.508304596,8.472701112,2.159423828,2.1068573,2.089157104,2.247161865,0.466666667,0.046666667,0,,8.821450782,224,,,,,0,8.359622735,,,,8.331818109,8.296214626,,,,,,
0.483333333,8.997598187,3.544890839,24.11712198,911.5079437,8.53543106,8.508304596,8.481856294,2.159347534,2.106933594,2.089080811,2.247161865,0.483333333,0.048333333,0,,8.835573527,225,,,,,0,8.3734064,,,,8.346279936,8.319831634,,,,,,
0.5,8.997598187,4.789590865,24.12002408,911.4738922,8.535770141,8.506609192,8.48863791,2.15965271,2.106781006,2.088851929,2.247238159,0.5,0.05,0,,8.778693914,224,,,,,0,8.316865868,,,,8.287704919,8.269733637,,,,,,
0.516666667,8.997937268,3.597758127,24.11131776,911.490918,8.53983911,8.508304596,8.494402283,2.159347534,2.106704712,2.088928223,2.247085571,0.516666667,0.051666667,0,,8.833479236,224,,,,,0,8.375381079,,,,8.343846564,8.329944252,,,,,,
0.533333333,8.998276349,4.192283252,24.12292615,911.5079437,8.53983911,8.507626434,8.498132172,2.159500122,2.1068573,2.088851929,2.247085571,0.533333333,0.053333333,0,,8.806681418,225,,,,,0,8.34824418,,,,8.316031504,8.306537242,,,,,,
0.55,8.99861543,3.59219315,24.11857303,911.5079437,8.54390808,8.505252869,8.504574707,2.15965271,2.106628418,2.089004517,2.247161865,0.55,0.055,0,,8.834432985,224,,,,,0,8.379725635,,,,8.341070424,8.340392263,,,,,,
0.566666667,8.999293591,3.594048142,24.12292615,911.4568665,8.550689696,8.50559195,8.50593103,2.159500122,2.106628418,2.089157104,2.247085571,0.566666667,0.056666667,0,,8.835039088,224,,,,,0,8.386435192,,,,8.341337446,8.341676527,,,,,,
0.583333333,8.993868299,3.588483164,24.11712198,911.5079437,8.550689696,8.504574707,8.512034485,2.159347534,2.106781006,2.089080811,2.247238159,0.583333333,0.058333333,0,,8.829851185,225,,,,,0,8.386672582,,,,8.340557593,8.348017371,,,,,,
0.6,8.993190137,3.54952832,24.12582822,911.4738922,8.55679315,8.504235626,8.523563232,2.159500122,2.106552124,2.088928223,2.247161865,0.6,0.06,0,,8.830978645,224,,,,,0,8.394581658,,,,8.342024135,8.36135174,,,,,,
0.616666667,8.992851056,3.596830631,24.1098667,911.4568665,8.556454069,8.504235626,8.523563232,2.159500122,2.106704712,2.088851929,2.247161865,0.616666667,0.061666667,0,,8.828431174,224,,,,,0,8.392034187,,,,8.339815744,8.359143349,,,,,,
0.633333333,8.993529218,3.568078246,24.12292615,911.4568665,8.558827635,8.50559195,8.53136209,2.159576416,2.106781006,2.089004517,2.247161865,0.633333333,0.063333333,0,,8.830461585,225,,,,,0,8.395760003,,,,8.342524317,8.368294458,,,,,,
0.65,8.988443006,4.268337948,24.11276882,911.5419952,8.561879362,8.504235626,8.530344848,2.159423828,2.106704712,2.088928223,2.247238159,0.65,0.065,0,,8.793336971,224,,,,,0,8.366773327,,,,8.309129591,8.335238813,,,,,,
0.666666667,8.988103925,3.552310809,24.11857303,911.5079437,8.5612012,8.504235626,8.53543106,2.15965271,2.106704712,2.089080811,2.247085571,0.666666667,0.066666667,0,,8.825744317,224,,,,,0,8.398841592,,,,8.341876018,8.373071452,,,,,,
0.683333333,8.987425763,4.702406214,24.11276882,911.4568665,8.561540281,8.504235626,8.53543106,2.159423828,2.106552124,2.089157104,2.247238159,0.683333333,0.068333333,0,,8.772478437,225,,,,,0,8.346592955,,,,8.2892883,8.320483733,,,,,,
0.7,8.987086683,4.494647044,24.10841563,911.4568665,8.556454069,8.504574707,8.541195433,2.159576416,2.106704712,2.089080811,2.247085571,0.7,0.07,0,,8.781620118,224,,,,,0,8.350987505,,,,8.299108142,8.335728869,,,,,,
0.716666667,8.986747602,3.668247846,24.10261133,911.4568665,8.555097746,8.504235626,8.547298888,2.159576416,2.106781006,2.088928223,2.247238159,0.716666667,0.071666667,0,,8.819041396,224,,,,,0,8.387391541,,,,8.336529421,8.379592682,,,,,,
0.733333333,8.987086683,3.577353209,24.12437719,911.5079437,8.548994292,8.504235626,8.54831613,2.159423828,2.106628418,2.088851929,2.247085571,0.733333333,0.073333333,0,,8.823599388,225,,,,,0,8.385506998,,,,8.340748332,8.384828836,,,,,,
0.75,8.985391279,3.570860735,24.11131776,911.4398407,8.543229918,8.504574707,8.554080504,2.15965271,2.106781006,2.089080811,2.247161865,0.75,0.075,0,,8.82216276,224,,,,,0,8.3800014,,,,8.341346189,8.390851986,,,,,,
0.766666667,8.980644147,4.336972674,24.11857303,911.5079437,8.543568999,8.504235626,8.554080504,2.159423828,2.106781006,2.089157104,2.247238159,0.766666667,0.076666667,0,,8.782421294,224,,,,,0,8.345346146,,,,8.306012773,8.355857651,,,,,,
0.783333333,8.978948743,4.466822155,24.10406241,911.4738922,8.549672453,8.504235626,8.557810393,2.159347534,2.106781006,2.089157104,2.247161865,0.783333333,0.078333333,0,,8.774738324,225,,,,,0,8.345462034,,,,8.300025207,8.353599973,,,,,,
0.8,8.986408521,3.938149267,24.11567093,911.4568665,8.548994292,8.504235626,8.563235685,2.159500122,2.106933594,2.089080811,2.247161865,0.8,0.08,0,,8.806404734,224,,,,,0,8.368990504,,,,8.324231839,8.383231898,,,,,,
0.816666667,8.986408521,3.604250601,24.10261133,911.4057892,8.548994292,8.504235626,8.563235685,2.159500122,2.106704712,2.089080811,2.247390747,0.816666667,0.081666667,0,,8.821628163,224,,,,,0,8.384213934,,,,8.339455269,8.398455328,,,,,,
0.833333333,8.985730359,3.530050898,24.09680697,911.4398407,8.548994292,8.504235626,8.569000059,2.159500122,2.106628418,2.089004517,2.247238159,0.833333333,0.083333333,0,,8.824325599,225,,,,,0,8.387589532,,,,8.342830866,8.407595299,,,,,,
0.85,8.985730359,3.625583016,24.09825806,911.4398407,8.548994292,8.504235626,8.568321897,2.159500122,2.106704712,2.089004517,2.247161865,0.85,0.085,0,,8.819961864,224,,,,,0,8.383225796,,,,8.338467131,8.402553402,,,,,,
0.866666667,8.986408521,3.60703309,24.09970915,911.4738922,8.549672453,8.504235626,8.576120756,2.159423828,2.1068573,2.089157104,2.247085571,0.866666667,0.086666667,0,,8.821492427,224,,,,,0,8.384756359,,,,8.339319532,8.411204661,,,,,,
0.883333333,8.98606944,3.553238305,24.09390477,911.4568665,8.548994292,8.504235626,8.58629318,2.159500122,2.106704712,2.089080811,2.247238159,0.883333333,0.088333333,0,,8.823596078,225,,,,,0,8.38652093,,,,8.341762265,8.423819818,,,,,,
0.9,8.986747602,3.569005742,24.09535587,911.5249695,8.549333373,8.504235626,8.593074795,2.159500122,2.106781006,2.089080811,2.247238159,0.9,0.09,0,,8.823557487,224,,,,,0,8.386143258,,,,8.341045512,8.429884681,,,,,,
0.916666667,8.98606944,3.605178098,24.09970915,911.490918,8.548655211,8.504235626,8.598839169,2.159423828,2.106628418,2.089080811,2.247009277,0.916666667,0.091666667,0,,8.821238157,224,,,,,0,8.383823928,,,,8.339404344,8.434007886,,,,,,
0.933333333,8.991155652,3.718332646,24.11131776,911.5249695,8.555775908,8.504235626,8.607316189,2.159576416,2.106704712,2.089157104,2.247009277,0.933333333,0.093333333,0,,8.821186008,225,,,,,0,8.385806264,,,,8.334265982,8.437346545,,,,,,
0.95,8.992511975,3.526340913,24.08955145,911.5079437,8.555436827,8.504235626,8.620201259,2.159423828,2.106628418,2.089157104,2.247085571,0.95,0.095,0,,8.831255997,224,,,,,0,8.394180848,,,,8.342979648,8.458945281,,,,,,
0.966666667,8.991833814,3.54952832,24.11421988,911.490918,8.550011534,8.504235626,8.623592067,2.159576416,2.106781006,2.089080811,2.247238159,0.966666667,0.096666667,0,,8.82958881,224,,,,,0,8.38776653,,,,8.341990622,8.461347063,,,,,,
0.983333333,8.991833814,3.595903135,24.09825806,911.5249695,8.548655211,8.504235626,8.628339198,2.159576416,2.106628418,2.089080811,2.247161865,0.983333333,0.098333333,0,,8.827422338,225,,,,,0,8.384243736,,,,8.339824151,8.463927723,,,,,,
1,8.991155652,3.580135698,24.09535587,911.490918,8.548994292,8.504235626,8.636477138,2.15965271,2.106781006,2.088928223,2.247238159,1,0.1,0,,8.827456629,224,,,,,0,8.385295268,,,,8.340536603,8.472778114,,,,,,
1.016666667,8.992172895,3.563440764,24.09245367,911.4568665,8.548994292,8.504235626,8.642241511,2.15965271,2.106781006,2.089157104,2.247161865,1.016666667,0.101666667,0,,8.829228807,224,,,,,0,8.386050204,,,,8.341291539,8.479297423,,,,,,
1.033333333,8.991833814,3.536543372,24.11276882,911.5249695,8.548655211,8.503896546,8.648005885,2.159500122,2.106704712,2.089004517,2.247390747,1.033333333,0.103333333,0,,8.830178161,225,,,,,0,8.386999559,,,,8.342240893,8.486350232,,,,,,
1.05,8.991155652,3.548600824,24.11276882,911.490918,8.552724181,8.504235626,8.656821985,2.159423828,2.106704712,2.089004517,2.247238159,1.05,0.105,0,,8.828948853,224,,,,,0,8.390517381,,,,8.342028827,8.494615186,,,,,,
1.066666667,8.991833814,3.511500972,24.10406241,911.490918,8.556114989,8.503896546,8.663942682,2.159500122,2.1068573,2.089157104,2.247314453,1.066666667,0.106666667,0,,8.831297965,224,,,,,0,8.395579139,,,,8.343360697,8.503406833,,,,,,
1.083333333,8.991833814,3.539325861,24.10406241,911.5079437,8.5612012,8.504235626,8.673436945,2.159500122,2.1068573,2.089004517,2.247238159,1.083333333,0.108333333,0,,8.83002589,225,,,,,0,8.399393276,,,,8.342427702,8.511629021,,,,,,
1.1,8.992172895,3.491096054,24.09245367,911.5419952,8.564592008,8.504235626,8.680557641,2.159500122,2.106781006,2.089080811,2.247314453,1.1,0.11,0,,8.832536886,224,,,,,0,8.404956,,,,8.344599618,8.520921632,,,,,,
1.116666667,8.991155652,3.516138453,24.09245367,911.5249695,8.565609251,8.504235626,8.681574884,2.159576416,2.106704712,2.089080811,2.247161865,1.116666667,0.111666667,0,,8.830374539,224,,,,,0,8.404828138,,,,8.343454513,8.520793771,,,,,,
1.133333333,8.996241864,3.525413416,24.10841563,911.4738922,8.572390867,8.504235626,8.690730065,2.15965271,2.1068573,2.088928223,2.247238159,1.133333333,0.113333333,0,,8.835082472,225,,,,,0,8.411231475,,,,8.343076235,8.529570673,,,,,,
1.15,8.996241864,3.480893594,24.09535587,911.4738922,8.572390867,8.504235626,8.695477196,2.159423828,2.106704712,2.089233398,2.247161865,1.15,0.115,0,,8.837080611,224,,,,,0,8.413229614,,,,8.345074374,8.536315944,,,,,,
1.166666667,8.995563703,3.505008498,24.10406241,911.490918,8.56527017,8.503896546,8.70124157,2.159576416,2.106704712,2.089004517,2.247009277,1.166666667,0.116666667,0,,8.835324671,224,,,,,0,8.405031138,,,,8.343657514,8.541002538,,,,,,
1.183333333,8.995902783,3.493878542,24.09100256,911.4568665,8.565609251,8.504235626,8.707684105,2.159576416,2.1068573,2.089080811,2.247085571,1.183333333,0.118333333,0,,8.836135408,225,,,,,0,8.405841876,,,,8.344468252,8.54791673,,,,,,
1.2,9.002684399,3.502226009,24.09825806,911.3887634,8.572390867,8.504235626,8.712431236,2.159423828,2.106781006,2.089004517,2.247238159,1.2,0.12,0,,8.842556019,224,,,,,0,8.412262486,,,,8.344107246,8.552302856,,,,,,
1.216666667,8.996580945,3.508718483,24.09100256,911.490918,8.572729948,8.504235626,8.725316307,2.159500122,2.106781006,2.089004517,2.247085571,1.216666667,0.121666667,0,,8.836134972,224,,,,,0,8.412283975,,,,8.343789654,8.564870334,,,,,,
1.233333333,8.995563703,3.511500972,24.07939358,911.4057892,8.572729948,8.504235626,8.729046195,2.159500122,2.106781006,2.089080811,2.247085571,1.233333333,0.123333333,0,,8.834957252,225,,,,,0,8.412123497,,,,8.343629176,8.568439745,,,,,,
1.25,8.995902783,4.606874095,24.09390477,911.490918,8.577137998,8.504235626,8.734810569,2.15965271,2.106704712,2.089080811,2.247161865,1.25,0.125,0,,8.785251468,224,,,,,0,8.366486683,,,,8.293584311,8.524159254,,,,,,
1.266666667,8.995224622,3.520775935,24.08664922,911.490918,8.57815524,8.503896546,8.734810569,2.15965271,2.106781006,2.089004517,2.247238159,1.266666667,0.126666667,0,,8.834214794,224,,,,,0,8.417145412,,,,8.342886718,8.573800741,,,,,,
1.283333333,8.991494733,3.49202355,24.09970915,911.4568665,8.576798917,8.503896546,8.739896781,2.159500122,2.106628418,2.089004517,2.247085571,1.283333333,0.128333333,0,,8.831836956,225,,,,,0,8.41714114,,,,8.344238769,8.580239004,,,,,,
1.3,8.991155652,3.515210957,24.0851981,911.3887634,8.577137998,8.503896546,8.745661155,2.15965271,2.106781006,2.089004517,2.247238159,1.3,0.13,0,,8.830396159,224,,,,,0,8.416378505,,,,8.343137052,8.584901661,,,,,,
1.316666667,8.991494733,3.492951046,24.09535587,911.5079437,8.572390867,8.504235626,8.75244277,2.159423828,2.106704712,2.089004517,2.247085571,1.316666667,0.131666667,0,,8.831782162,224,,,,,0,8.412678296,,,,8.344523056,8.5927302,,,,,,
1.333333333,8.986408521,3.528195905,24.10406241,911.4228149,8.572051786,8.503896546,8.753120932,2.159500122,2.106704712,2.089004517,2.247238159,1.333333333,0.133333333,0,,8.825109427,225,,,,,0,8.410752692,,,,8.342597452,8.591821838,,,,,,
1.35,8.984374036,3.487386068,24.10551348,911.4568665,8.564931089,8.504235626,8.75651174,2.159576416,2.106704712,2.089004517,2.247314453,1.35,0.135,0,,8.824944772,224,,,,,0,8.405501825,,,,8.344806363,8.597082476,,,,,,
1.366666667,8.99013841,3.563440764,24.09970915,911.3717377,8.56527017,8.503896546,8.762954275,2.159576416,2.106628418,2.089004517,2.247161865,1.366666667,0.136666667,0,,8.827215387,224,,,,,0,8.402347148,,,,8.340973523,8.600031253,,,,,,
1.383333333,8.989799329,3.412258869,24.08955145,911.4568665,8.5612012,8.504235626,8.76939681,2.159576416,2.106704712,2.089004517,2.247161865,1.383333333,0.138333333,0,,8.833760206,225,,,,,0,8.405162078,,,,8.348196504,8.613357687,,,,,,
1.4,8.989799329,3.52448592,24.09680697,911.5249695,8.555097746,8.503896546,8.778551992,2.159347534,2.106704712,2.089004517,2.247085571,1.4,0.14,0,,8.828649017,224,,,,,0,8.393947434,,,,8.342746233,8.61740168,,,,,,
1.416666667,8.99013841,3.505935994,24.09245367,911.4738922,8.54831613,8.503896546,8.783638204,2.159576416,2.106704712,2.089004517,2.247009277,1.416666667,0.141666667,0,,8.829823821,224,,,,,0,8.388001541,,,,8.343581956,8.623323615,,,,,,
1.433333333,8.989799329,3.492951046,24.09825806,911.4398407,8.54831613,8.503896546,8.791097981,2.159576416,2.1068573,2.089080811,2.247161865,1.433333333,0.143333333,0,,8.830095017,225,,,,,0,8.388611818,,,,8.344192234,8.63139367,,,,,,
1.45,8.995224622,3.517993446,24.10261133,911.4228149,8.543229918,8.504235626,8.795166951,2.159576416,2.1068573,2.089004517,2.247314453,1.45,0.145,0,,8.834387798,224,,,,,0,8.382393095,,,,8.343398803,8.634330127,,,,,,
1.466666667,8.99454646,3.458633683,24.08664922,911.4228149,8.543568999,8.502879303,8.799575001,2.159576416,2.106781006,2.089080811,2.247085571,1.466666667,0.146666667,0,,8.836378481,224,,,,,0,8.38540102,,,,8.344711324,8.641407022,,,,,,
1.483333333,8.994207379,3.750795016,24.09535587,911.3717377,8.542212676,8.503896546,8.799575001,2.159576416,2.106704712,2.089080811,2.247009277,1.483333333,0.148333333,0,,8.822705086,225,,,,,0,8.370710383,,,,8.332394253,8.628072708,,,,,,
1.5,8.994885541,3.51706595,24.08229585,911.3717377,8.539160949,8.503557465,8.799575001,2.159729004,2.106704712,2.089080811,2.247161865,1.5,0.15,0,,8.83403289,224,,,,,0,8.378308298,,,,8.342704814,8.63872235,,,,,,
1.516666667,8.99861543,3.526340913,24.08374697,911.4057892,8.539500029,8.503218384,8.806695698,2.159576416,2.106704712,2.089157104,2.247161865,1.516666667,0.151666667,0,,8.837342763,224,,,,,0,8.378227362,,,,8.341945717,8.645423031,,,,,,
1.533333333,8.999971753,3.496661031,24.09680697,911.4057892,8.539160949,8.503896546,8.813477314,2.159576416,2.106704712,2.089157104,2.247161865,1.533333333,0.153333333,0,,8.84009368,225,,,,,0,8.379282876,,,,8.344018473,8.653599241,,,,,,
1.55,8.999632672,3.53190589,24.07794244,911.4568665,8.539160949,8.503896546,8.818563526,2.159500122,2.106781006,2.089233398,2.247161865,1.55,0.155,0,,8.838088776,224,,,,,0,8.377617052,,,,8.342352649,8.65701963,,,,,,
1.566666667,8.999293591,3.400201417,24.08664922,911.4228149,8.53983911,8.502879303,8.822293415,2.15965271,2.106781006,2.089080811,2.247238159,1.566666667,0.156666667,0,,8.843797798,224,,,,,0,8.384343317,,,,8.34738351,8.666797622,,,,,,
1.583333333,8.999632672,3.90754189,24.08810034,911.4228149,8.543568999,8.502540222,8.827379627,2.159500122,2.106704712,2.088928223,2.247238159,1.583333333,0.158333333,0,,8.820940139,225,,,,,0,8.364876466,,,,8.323847689,8.648687093,,,,,,
1.6,8.999293591,3.453996202,24.10261133,911.3717377,8.541873595,8.503557465,8.833822162,2.159576416,2.106704712,2.089080811,2.247238159,1.6,0.16,0,,8.841382616,224,,,,,0,8.383962619,,,,8.345646489,8.675911186,,,,,,
1.616666667,8.999293591,3.517993446,24.09535587,911.3547119,8.542551757,8.503557465,8.840264697,2.159423828,2.106704712,2.089004517,2.247085571,1.616666667,0.161666667,0,,8.838435976,224,,,,,0,8.381694141,,,,8.342699849,8.679407081,,,,,,
1.633333333,8.997937268,3.51706595,24.08955145,911.4398407,8.542212676,8.503896546,8.843655505,2.159576416,2.106628418,2.089080811,2.247161865,1.633333333,0.163333333,0,,8.837105424,225,,,,,0,8.381380832,,,,8.343064702,8.682823661,,,,,,
1.65,8.998954511,3.484603579,24.09970915,911.4398407,8.539500029,8.503557465,8.849758959,2.15965271,2.106933594,2.089157104,2.247314453,1.65,0.165,0,,8.83963598,224,,,,,0,8.380181499,,,,8.344238934,8.690440429,,,,,,
1.666666667,9.004040722,3.544890839,24.10116024,911.3547119,8.539500029,8.501862061,8.861965868,2.159423828,2.106704712,2.088928223,2.247085571,1.666666667,0.166666667,0,,8.841970005,224,,,,,0,8.377429312,,,,8.339791344,8.699895151,,,,,,
