Latest: Time (min),Latest: Dissolved Oxygen 1 (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Potential (V),Latest: Potential 2 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0.233333333,7.508517978,7.237253585,27.5212169,101.7511563,7.473592656,7.094839417,6.53569516,2.089233398,2.084274292,2.035293579,2.100753784,0.233333333,0.023333333,0,,7.195428677,225,,,,,0,7.160503355,,,,6.222605859,6.781750116,,,,,,
0.25,7.508517978,7.253021022,27.52266799,101.7563125,7.473931736,7.094500336,6.541120453,2.089309692,2.084197998,2.035217285,2.100830078,0.25,0.025,0,,7.1947532,224,,,,,0,7.160166958,,,,6.227355675,6.780735558,,,,,,
0.266666667,7.507839816,7.239108578,27.5212169,101.7477188,7.469862767,7.094161255,6.548919312,2.089233398,2.084274292,2.035064697,2.100830078,0.266666667,0.026666667,0,,7.194670267,224,,,,,0,7.156693218,,,,6.235749762,6.780991706,,,,,,
0.283333333,7.509196139,7.189023778,27.53427688,101.7442813,7.463081151,7.094161255,6.553327362,2.089233398,2.084350586,2.035140991,2.100906372,0.283333333,0.028333333,0,,7.198252456,225,,,,,0,7.152137468,,,,6.242383679,6.783217572,,,,,,
0.3,7.514621432,7.251166029,27.53863026,101.746,7.463081151,7.095178497,6.556040009,2.089233398,2.084197998,2.035064697,2.100906372,0.3,0.03,0,,7.201009815,224,,,,,0,7.149469534,,,,6.242428391,6.78156688,,,,,,
0.316666667,7.515299594,7.199226237,27.53282575,101.7442813,7.452908727,7.094161255,6.570959564,2.089157104,2.084197998,2.034988403,2.100982666,0.316666667,0.031666667,0,,7.203908049,224,,,,,0,7.141517182,,,,6.259568019,6.78276971,,,,,,
0.333333333,7.514282351,7.250238533,27.5270213,101.746,7.448839757,7.094500336,6.580114746,2.089233398,2.084350586,2.034988403,2.100906372,0.333333333,0.033333333,0,,7.200657835,225,,,,,0,7.135215241,,,,6.26649023,6.780875819,,,,,,
0.35,7.514282351,7.26600597,27.55314177,101.746,7.438328253,7.094500336,6.585200958,2.089233398,2.084350586,2.035217285,2.100830078,0.35,0.035,0,,7.200095256,224,,,,,0,7.124141157,,,,6.271013863,6.78031324,,,,,,
0.366666667,7.509196139,7.276208429,27.55604411,101.7477188,7.432563879,7.089075043,6.592660736,2.089157104,2.084121704,2.035140991,2.100982666,0.366666667,0.036666667,0,,7.194581162,224,,,,,0,7.117948901,,,,6.278045758,6.774460065,,,,,,
0.383333333,7.509196139,7.229833615,27.57345843,101.746,7.413914435,7.088735962,6.603511322,2.089157104,2.084274292,2.035064697,2.100982666,0.383333333,0.038333333,0,,7.196665465,225,,,,,0,7.10138376,,,,6.290980647,6.776205287,,,,,,
0.4,7.508857059,7.270643452,27.54733712,101.7477188,7.40340293,7.087718719,6.614361908,2.089309692,2.084350586,2.035217285,2.100982666,0.4,0.04,0,,7.194442888,224,,,,,0,7.08898876,,,,6.299947737,6.773304549,,,,,,
0.416666667,7.503770847,7.161198889,27.57345843,101.752875,7.390856941,7.088396881,6.625551575,2.089233398,2.084121704,2.035140991,2.100753784,0.416666667,0.041666667,0,,7.194207108,224,,,,,0,7.081293203,,,,6.315987836,6.778833143,,,,,,
0.433333333,7.508178897,7.278063422,27.54588597,101.7477188,7.380006355,7.0880578,6.633350433,2.089233398,2.084197998,2.035140991,2.100830078,0.433333333,0.043333333,0,,7.193437209,225,,,,,0,7.065264668,,,,6.318608746,6.773316113,,,,,,
0.45,7.508178897,7.138011482,27.57055601,101.7511563,7.374241982,7.088396881,6.642505615,2.089233398,2.084121704,2.035064697,2.100830078,0.45,0.045,0,,7.199604492,224,,,,,0,7.065667577,,,,6.33393121,6.779822476,,,,,,
0.466666667,7.507839816,7.248383541,27.57055601,101.7477188,7.369833931,7.0880578,6.652338959,2.089157104,2.084197998,2.035217285,2.100830078,0.466666667,0.046666667,0,,7.194494055,224,,,,,0,7.05648817,,,,6.338993198,6.774712039,,,,,,
0.483333333,7.508857059,7.176966326,27.60538597,101.7442813,7.364069558,7.088396881,6.660137817,2.089233398,2.08404541,2.035064697,2.100753784,0.483333333,0.048333333,0,,7.198755436,225,,,,,0,7.053967936,,,,6.350036195,6.778295259,,,,,,
0.5,7.508517978,7.259513496,27.61844772,101.746,7.360000588,7.0880578,6.660137817,2.089233398,2.084121704,2.035064697,2.100906372,0.5,0.05,0,,7.194909034,224,,,,,0,7.046391644,,,,6.346528873,6.774448856,,,,,,
0.516666667,7.508517978,7.155633911,27.60973985,101.7477188,7.351862649,7.0880578,6.663528625,2.089233398,2.084350586,2.035064697,2.100830078,0.516666667,0.051666667,0,,7.199357597,224,,,,,0,7.042702268,,,,6.354368244,6.778897419,,,,,,
0.533333333,7.508178897,7.218703659,27.63005839,101.7425625,7.343046548,7.088735962,6.668953918,2.089233398,2.084274292,2.035140991,2.100906372,0.533333333,0.053333333,0,,7.196385353,225,,,,,0,7.031253004,,,,6.357160375,6.776942418,,,,,,
0.55,7.508178897,7.338350681,27.61409377,101.7494375,7.336943094,7.088396881,6.675735535,2.089233398,2.084197998,2.035217285,2.100982666,0.55,0.055,0,,7.191144211,224,,,,,0,7.019908408,,,,6.358700849,6.771362195,,,,,,
0.566666667,7.508178897,7.342060666,27.6329611,101.7494375,7.325414347,7.094161255,6.680143585,2.089233398,2.084121704,2.035064697,2.100906372,0.566666667,0.056666667,0,,7.191070584,224,,,,,0,7.008306034,,,,6.363035273,6.777052942,,,,,,
0.583333333,7.507839816,7.502517525,27.68085775,101.7494375,7.321345377,7.095517578,6.680143585,2.089233398,2.08404541,2.035217285,2.100830078,0.583333333,0.058333333,0,,7.18402549,225,,,,,0,6.997531051,,,,6.356329259,6.771703252,,,,,,
0.6,7.508178897,7.450577733,27.69392115,101.7477188,7.317276408,7.095517578,6.685568878,2.089157104,2.084274292,2.035217285,2.100906372,0.6,0.06,0,,7.186666923,224,,,,,0,6.995764433,,,,6.364056904,6.774005604,,,,,,
0.616666667,7.505466251,7.325365733,29.39394135,101.7545938,7.316937327,7.095178497,6.685568878,2.089309692,2.08442688,2.035293579,2.100906372,0.616666667,0.061666667,0,,7.19663007,224,,,,,0,7.008101146,,,,6.376732697,6.786342317,,,,,,
0.633333333,7.504788089,7.327220726,29.54411413,101.7425625,7.316598246,7.095517578,6.685568878,2.089233398,2.084197998,2.035064697,2.100906372,0.633333333,0.063333333,0,,7.196472764,225,,,,,0,7.008282921,,,,6.377253553,6.787202253,,,,,,
0.65,7.504449008,7.022074445,33.73590373,101.7477188,7.316598246,7.094500336,6.693367737,2.089157104,2.08442688,2.035064697,2.100830078,0.65,0.065,0,,7.222730195,224,,,,,0,7.034879433,,,,6.411648924,6.812781522,,,,,,
0.666666667,7.503431766,6.851415127,34.28538269,101.746,7.317954569,7.095856659,6.692689575,2.089233398,2.08404541,2.035217285,2.100830078,0.666666667,0.066666667,0,,7.230054685,224,,,,,0,7.044577488,,,,6.419312494,6.822479578,,,,,,
0.683333333,7.504109927,6.844922653,34.30333727,101.752875,7.311172953,7.098908386,6.692011414,2.089309692,2.084350586,2.034988403,2.100830078,0.683333333,0.068333333,0,,7.231039873,225,,,,,0,7.038102899,,,,6.418941359,6.825838332,,,,,,
0.7,7.503431766,6.643655957,34.60893384,101.7511563,7.304052257,7.099925629,6.684890717,2.089233398,2.084197998,2.035217285,2.100753784,0.7,0.07,0,,7.239175996,224,,,,,0,7.039796487,,,,6.420634947,6.835669859,,,,,,
0.716666667,7.504449008,6.74289806,33.52295346,101.7545938,7.300322368,7.103994598,6.679465424,2.089233398,2.084350586,2.035217285,2.100830078,0.716666667,0.071666667,0,,7.233346654,224,,,,,0,7.029220013,,,,6.408363069,6.832892244,,,,,,
0.733333333,7.50953522,6.68539329,33.9237985,101.746,7.293540752,7.103994598,6.679804504,2.089233398,2.084274292,2.035064697,2.100830078,0.733333333,0.073333333,0,,7.241828105,225,,,,,0,7.025833637,,,,6.412097389,6.836287483,,,,,,
0.75,7.508517978,6.795765349,33.01933204,101.7494375,7.293879833,7.103994598,6.676413696,2.089233398,2.084350586,2.035064697,2.100982666,0.75,0.075,0,,7.233866171,224,,,,,0,7.019228026,,,,6.40176189,6.829342792,,,,,,
0.766666667,7.508857059,6.62788852,33.57206839,101.7442813,7.294218913,7.103655518,6.676413696,2.089233398,2.084121704,2.035217285,2.100830078,0.766666667,0.076666667,0,,7.242511776,224,,,,,0,7.027873631,,,,6.410068414,6.837310235,,,,,,
0.783333333,7.508857059,6.736405586,32.88590089,101.746,7.293540752,7.103994598,6.668953918,2.089309692,2.084121704,2.035140991,2.100906372,0.783333333,0.078333333,0,,7.236222489,225,,,,,0,7.020906182,,,,6.396319349,6.831360029,,,,,,
0.8,7.508857059,6.555543809,33.56909126,101.746,7.28845454,7.109419891,6.66963208,2.089157104,2.084350586,2.035217285,2.100906372,0.8,0.08,0,,7.245411022,224,,,,,0,7.025008504,,,,6.406186044,6.845973855,,,,,,
0.816666667,7.508517978,6.740115571,32.57350901,101.7494375,7.294897075,7.109419891,6.663867706,2.089233398,2.084197998,2.035217285,2.100982666,0.816666667,0.081666667,0,,7.234825507,224,,,,,0,7.021204604,,,,6.390175236,6.835727421,,,,,,
0.833333333,7.508517978,6.57038375,32.93184791,101.7408438,7.293540752,7.103994598,6.661494141,2.089157104,2.084350586,2.035217285,2.100830078,0.833333333,0.083333333,0,,7.242731216,225,,,,,0,7.02775399,,,,6.395707379,6.838207837,,,,,,
0.85,7.508857059,6.601918624,32.58830099,101.7580313,7.294557994,7.103655518,6.660815979,2.089157104,2.084197998,2.034988403,2.100906372,0.85,0.085,0,,7.240818805,224,,,,,0,7.026519741,,,,6.392777726,6.835617264,,,,,,
0.866666667,7.508517978,6.594498653,33.02229845,101.7442813,7.293540752,7.098908386,6.655051605,2.089233398,2.084274292,2.035140991,2.100982666,0.866666667,0.086666667,0,,7.242008665,224,,,,,0,7.027031439,,,,6.388542292,6.832399073,,,,,,
0.883333333,7.50953522,6.594498653,32.45078561,101.746,7.299983287,7.098908386,6.654712524,2.089157104,2.084274292,2.035140991,2.100753784,0.883333333,0.088333333,0,,7.241401693,225,,,,,0,7.03184976,,,,6.386578997,6.830774859,,,,,,
0.9,7.508517978,6.630671009,32.85478296,101.752875,7.300322368,7.099247467,6.655390686,2.089233398,2.084350586,2.035140991,2.100830078,0.9,0.09,0,,7.240074558,224,,,,,0,7.031878948,,,,6.386947266,6.830804047,,,,,,
0.916666667,7.508178897,6.61026609,32.30008945,101.7511563,7.300322368,7.099247467,6.654712524,2.089233398,2.084121704,2.035140991,2.100982666,0.916666667,0.091666667,0,,7.2389644,224,,,,,0,7.031107871,,,,6.385498027,6.83003297,,,,,,
0.933333333,7.514621432,6.622323542,32.88441895,101.746,7.299983287,7.099925629,6.654373444,2.089157104,2.08404541,2.035217285,2.100906372,0.933333333,0.093333333,0,,7.246599783,225,,,,,0,7.031961638,,,,6.386351794,6.83190398,,,,,,
0.95,7.515299594,6.714145675,32.27793929,101.746,7.304391337,7.098908386,6.649626312,2.089233398,2.084274292,2.035140991,2.10067749,0.95,0.095,0,,7.241788363,224,,,,,0,7.030880106,,,,6.376115081,6.825397155,,,,,,
0.966666667,7.520046725,6.655713409,33.17662912,101.7477188,7.304391337,7.103316437,6.654712524,2.089309692,2.084274292,2.035217285,2.100753784,0.966666667,0.096666667,0,,7.2514956,224,,,,,0,7.035840213,,,,6.3861614,6.834765312,,,,,,
0.983333333,7.520385806,6.824517734,32.0949377,101.7545938,7.312190196,7.103994598,6.649965393,2.089233398,2.084274292,2.035217285,2.100982666,0.983333333,0.098333333,0,,7.241819725,225,,,,,0,7.033624115,,,,6.371399313,6.825428518,,,,,,
1,7.520385806,6.580586209,33.44261862,101.7477188,7.326092508,7.103994598,6.655051605,2.089233398,2.084197998,2.035217285,2.100830078,1,0.1,0,,7.255592349,224,,,,,0,7.061299052,,,,6.390258149,6.839201142,,,,,,
1.016666667,7.525132937,6.776287927,32.37246629,101.7477188,7.329822397,7.103655518,6.648269989,2.089233398,2.084197998,2.035217285,2.100906372,1.016666667,0.101666667,0,,7.249374058,224,,,,,0,7.054063518,,,,6.37251111,6.827896638,,,,,,
1.033333333,7.520724886,6.549051335,33.23454267,101.7477188,7.34372471,7.103655518,6.649626312,2.089233398,2.084197998,2.035217285,2.100982666,1.033333333,0.103333333,0,,7.256635918,225,,,,,0,7.079635742,,,,6.385537344,6.839566549,,,,,,
1.05,7.520385806,6.784635394,32.38133083,101.746,7.352879892,7.108402649,6.647591827,2.089309692,2.084197998,2.035217285,2.100906372,1.05,0.105,0,,7.244313783,224,,,,,0,7.076807869,,,,6.371519805,6.832330626,,,,,,
1.066666667,7.520724886,6.554616313,33.28653495,101.752875,7.364747719,7.108063568,6.642166534,2.089233398,2.08442688,2.035140991,2.100906372,1.066666667,0.106666667,0,,7.256553378,224,,,,,0,7.100576211,,,,6.377995026,6.84389206,,,,,,
1.083333333,7.520724886,6.794837853,32.66672038,101.7477188,7.369494851,7.108402649,6.642844696,2.089233398,2.084197998,2.035064697,2.100830078,1.083333333,0.108333333,0,,7.245085399,225,,,,,0,7.093855363,,,,6.367205208,6.832763161,,,,,,
1.1,7.525132937,6.74289806,32.73185146,101.752875,7.374241982,7.10874173,6.642844696,2.089233398,2.084121704,2.035293579,2.10105896,1.1,0.11,0,,7.251790157,224,,,,,0,7.100899202,,,,6.369501916,6.835398949,,,,,,
1.116666667,7.525811098,6.737333083,32.43748358,101.7494375,7.380684517,7.109080811,6.642505615,2.089233398,2.084197998,2.035217285,2.100906372,1.116666667,0.111666667,0,,7.251830509,224,,,,,0,7.106703927,,,,6.368525026,6.835100221,,,,,,
1.133333333,7.525472018,6.769795453,31.96812677,101.7477188,7.386448891,7.10874173,6.642166534,2.089233398,2.084121704,2.035217285,2.100830078,1.133333333,0.113333333,0,,7.248751452,225,,,,,0,7.109728325,,,,6.365445969,6.832021165,,,,,,
1.15,7.525472018,6.600991127,32.48182771,101.7494375,7.390856941,7.115523346,6.642844696,2.089233398,2.084121704,2.035064697,2.100906372,1.15,0.115,0,,7.257164427,224,,,,,0,7.12254935,,,,6.374537105,6.847215755,,,,,,
1.166666667,7.524793856,6.659423394,31.86202691,101.7477188,7.391535102,7.115184265,6.642844696,2.089233398,2.08404541,2.035064697,2.100830078,1.166666667,0.116666667,0,,7.252262762,224,,,,,0,7.119004008,,,,6.370313602,6.842653171,,,,,,
1.183333333,7.525472018,6.591716164,32.2011737,101.746,7.396282234,7.115523346,6.638775726,2.089233398,2.084350586,2.035293579,2.100982666,1.183333333,0.118333333,0,,7.256722615,225,,,,,0,7.127532831,,,,6.370026324,6.846773944,,,,,,
1.2,7.525132937,6.588006179,31.6926865,101.7477188,7.404081092,7.119592316,6.638775726,2.089233398,2.084121704,2.035064697,2.100830078,1.2,0.12,0,,7.255011072,224,,,,,0,7.133959227,,,,6.368653862,6.849470451,,,,,,
1.216666667,7.525472018,6.579658713,31.90770134,101.7494375,7.403742011,7.119592316,6.64013205,2.089233398,2.08442688,2.035293579,2.100830078,1.216666667,0.121666667,0,,7.256342499,224,,,,,0,7.134612492,,,,6.37100253,6.850462797,,,,,,
1.233333333,7.525472018,6.588006179,31.67060974,101.7477188,7.408828223,7.120270477,6.639453888,2.089233398,2.084197998,2.035140991,2.100982666,1.233333333,0.123333333,0,,7.255282762,225,,,,,0,7.138638968,,,,6.369264633,6.850081222,,,,,,
1.25,7.525472018,6.56018129,32.06986339,101.7477188,7.413914435,7.119931396,6.639453888,2.089233398,2.084197998,2.035140991,2.100982666,1.25,0.125,0,,7.257621623,224,,,,,0,7.14606404,,,,6.371603493,6.852081001,,,,,,
1.266666667,7.525472018,6.578731216,31.69121464,101.7477188,7.413575354,7.120270477,6.639114807,2.089233398,2.084350586,2.035217285,2.100830078,1.266666667,0.126666667,0,,7.255725962,224,,,,,0,7.143829299,,,,6.369368752,6.850524422,,,,,,
1.283333333,7.525132937,6.592643661,31.88412604,101.7511563,7.413914435,7.124678528,6.633011353,2.089233398,2.084197998,2.035140991,2.100982666,1.283333333,0.128333333,0,,7.25540135,225,,,,,0,7.144182848,,,,6.363279766,6.854946941,,,,,,
1.3,7.524454775,6.608411098,31.65000704,101.7477188,7.413575354,7.124678528,6.625212494,2.089233398,2.084121704,2.035217285,2.10105896,1.3,0.13,0,,7.253365487,224,,,,,0,7.142486066,,,,6.354123205,6.853589239,,,,,,
1.316666667,7.525132937,6.614903572,31.71623786,101.7477188,7.413575354,7.131460144,6.625890656,2.089233398,2.084274292,2.035140991,2.100830078,1.316666667,0.131666667,0,,7.253980293,224,,,,,0,7.14242271,,,,6.354738011,6.8603075,,,,,,
1.333333333,7.520046725,6.583368698,31.73537547,101.7477188,7.413575354,7.132477386,6.619787201,2.089309692,2.084274292,2.035217285,2.100830078,1.333333333,0.133333333,0,,7.250244929,225,,,,,0,7.143773558,,,,6.349985405,6.86267559,,,,,,
1.35,7.520385806,6.582441201,32.08018769,101.7511563,7.413914435,7.132477386,6.614361908,2.089233398,2.084197998,2.035140991,2.100906372,1.35,0.135,0,,7.251657179,224,,,,,0,7.145185809,,,,6.345633282,6.86374876,,,,,,
1.366666667,7.514960513,6.556471305,31.68679912,101.7494375,7.419339728,7.137563599,6.614361908,2.089309692,2.08404541,2.035064697,2.100830078,1.366666667,0.136666667,0,,7.246113768,224,,,,,0,7.150492983,,,,6.345515163,6.868716853,,,,,,
1.383333333,7.514282351,6.542558861,31.96812677,101.7477188,7.413236274,7.137902679,6.61537915,2.089233398,2.084274292,2.035140991,2.100906372,1.383333333,0.138333333,0,,7.246850256,225,,,,,0,7.145804178,,,,6.347947055,6.870470584,,,,,,
1.4,7.514960513,6.565746268,31.65147859,101.752875,7.419000647,7.13824176,6.614700989,2.089157104,2.084350586,2.035140991,2.100906372,1.4,0.14,0,,7.245625901,224,,,,,0,7.149666036,,,,6.345366377,6.868907149,,,,,,
1.416666667,7.513943271,6.543486357,32.36655684,101.7494375,7.419000647,7.137902679,6.610292938,2.089233398,2.084274292,2.035217285,2.100982666,1.416666667,0.141666667,0,,7.247641096,224,,,,,0,7.152698472,,,,6.343990763,6.871600505,,,,,,
1.433333333,7.515638674,6.71043569,31.7324311,101.746,7.418322486,7.137902679,6.610292938,2.089233398,2.084274292,2.035140991,2.100753784,1.433333333,0.143333333,0,,7.240620255,225,,,,,0,7.143304066,,,,6.335274519,6.86288426,,,,,,
1.45,7.514282351,6.508241498,32.41679359,101.746,7.424086859,7.138580841,6.609953857,2.089233398,2.084197998,2.035140991,2.100753784,1.45,0.145,0,,7.249558757,224,,,,,0,7.159363265,,,,6.345230263,6.873857247,,,,,,
1.466666667,7.514960513,6.667770861,31.91801647,101.746,7.431207556,7.136885437,6.604189484,2.089233398,2.084197998,2.035140991,2.100830078,1.466666667,0.146666667,0,,7.242258275,224,,,,,0,7.158505318,,,,6.331487246,6.8641832,,,,,,
1.483333333,7.514621432,6.515661468,32.11263932,101.7511563,7.436293768,7.137902679,6.60283316,2.089233398,2.084121704,2.035140991,2.10067749,1.483333333,0.148333333,0,,7.248714268,225,,,,,0,7.170386603,,,,6.336925996,6.871995515,,,,,,
1.5,7.515977755,6.650148431,32.5631554,101.7425625,7.435954687,7.13824176,6.597068787,2.089233398,2.08442688,2.035140991,2.100830078,1.5,0.15,0,,7.245908528,224,,,,,0,7.16588546,,,,6.326999559,6.868172533,,,,,,
1.516666667,7.514960513,6.759592994,31.63087793,101.7442813,7.44137998,7.137902679,6.597407867,2.089233398,2.084197998,2.035217285,2.100982666,1.516666667,0.151666667,0,,7.237609374,224,,,,,0,7.164028841,,,,6.320056729,6.860551541,,,,,,
1.533333333,7.514621432,6.634380994,32.69188161,101.746,7.44137998,7.142988892,6.597407867,2.089233398,2.08442688,2.035217285,2.100982666,1.533333333,0.153333333,0,,7.245563248,225,,,,,0,7.172321795,,,,6.328349683,6.873930707,,,,,,
1.55,7.515299594,6.721565646,31.8399304,101.7477188,7.435615606,7.141971649,6.598086029,2.089233398,2.084197998,2.035064697,2.100906372,1.55,0.155,0,,7.240157377,224,,,,,0,7.16047339,,,,6.322943812,6.866829433,,,,,,
1.566666667,7.514282351,6.512878979,32.46408868,101.7442813,7.435615606,7.147396942,6.596729706,2.089157104,2.084197998,2.035217285,2.100753784,1.566666667,0.156666667,0,,7.249505539,224,,,,,0,7.170838794,,,,6.331952894,6.88262013,,,,,,
1.583333333,7.514960513,6.659423394,31.55438034,101.7477188,7.435615606,7.1463797,6.597407867,2.089157104,2.084121704,2.034988403,2.10105896,1.583333333,0.158333333,0,,7.241481875,225,,,,,0,7.162136968,,,,6.323929229,6.872901062,,,,,,
1.6,7.513943271,6.511023987,32.03299572,101.7494375,7.431207556,7.152144073,6.597407867,2.089157104,2.084197998,2.035140991,2.100906372,1.6,0.16,0,,7.247991568,224,,,,,0,7.165255854,,,,6.331456165,6.886192371,,,,,,
1.616666667,7.514621432,6.574093735,31.62352109,101.746,7.435276525,7.151804993,6.592321655,2.089233398,2.084350586,2.035217285,2.100906372,1.616666667,0.161666667,0,,7.244858971,224,,,,,0,7.165514064,,,,6.322559194,6.882042531,,,,,,
1.633333333,7.514960513,6.542558861,31.85024178,101.746,7.435276525,7.1463797,6.592999817,2.089157104,2.084121704,2.034988403,2.100906372,1.633333333,0.163333333,0,,7.247176706,225,,,,,0,7.167492719,,,,6.32521601,6.878595893,,,,,,
1.65,7.514621432,6.492474061,31.72801462,101.7477188,7.435615606,7.147396942,6.597068787,2.089233398,2.084197998,2.035217285,2.100906372,1.65,0.165,0,,7.248522644,224,,,,,0,7.169516818,,,,6.330969999,6.881298154,,,,,,
1.666666667,7.508857059,6.49525655,31.63676361,101.7442813,7.442397222,7.147057861,6.592660736,2.089233398,2.083969116,2.035217285,2.100982666,1.666666667,0.166666667,0,,7.242369615,224,,,,,0,7.175909778,,,,6.326173292,6.880570417,,,,,,
