Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: DO4 (mg/L),Latest: FlowV1 (V),Latest: FlowV2 (V),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0.166666667,7.74016089,14.66000643,30.24792218,102.0639688,7.792718413,7.785936798,2.784626559,2.117080688,2.095108032,0.864868164,2.087860107,0.166666667,0.016666667,0,,7.128738521,224,,,,,0,7.181296045,,,,7.17451443,2.17320419,,,,,,
0.183333333,7.74016089,14.69803377,30.25815724,102.055375,7.792718413,7.785936798,2.783948397,2.117156982,2.09487915,0.864868164,2.087860107,0.183333333,0.018333333,0,,7.127229797,225,,,,,0,7.17978732,,,,7.173005705,2.171017304,,,,,,
0.2,7.739821809,14.70916373,30.27862863,102.0639688,7.793057494,7.791701172,2.783948397,2.11730957,2.095031738,0.864562988,2.087860107,0.2,0.02,0,,7.126581082,224,,,,,0,7.179816767,,,,7.178460445,2.17070767,,,,,,
0.216666667,7.74016089,14.64516649,30.28740259,102.0605313,7.798143706,7.791362091,2.783270236,2.117233276,2.095108032,0.864486694,2.087783813,0.216666667,0.021666667,0,,7.129654136,224,,,,,0,7.187636953,,,,7.180855338,2.172763482,,,,,,
0.233333333,7.739821809,14.69525129,30.28301557,102.0605313,7.793057494,7.791701172,2.784287478,2.11730957,2.095184326,0.864486694,2.087860107,0.233333333,0.023333333,0,,7.127194154,225,,,,,0,7.18042984,,,,7.179073517,2.171659823,,,,,,
0.25,7.745925263,14.64331149,30.2844779,102.0588125,7.798821868,7.791362091,2.781574832,2.117156982,2.094955444,0.8644104,2.087936401,0.25,0.025,0,,7.135473892,224,,,,,0,7.188370497,,,,7.18091072,2.17112346,,,,,,
0.266666667,7.745586183,14.640529,30.30202655,102.0794375,7.798143706,7.791701172,2.783609316,2.117156982,2.095031738,0.864562988,2.087860107,0.266666667,0.026666667,0,,7.135382393,224,,,,,0,7.187939917,,,,7.181497382,2.173405527,,,,,,
0.283333333,7.746264344,14.66186142,30.30348899,102.096625,7.793057494,7.791362091,2.784626559,2.117233276,2.095108032,0.868606567,2.087936401,0.283333333,0.028333333,0,,7.135182413,225,,,,,0,7.181975564,,,,7.18028016,2.173544628,,,,,,
0.3,7.746942506,14.67762886,30.30933885,102.082875,7.793735656,7.79102301,2.783270236,2.117233276,2.09487915,0.867156982,2.087860107,0.3,0.03,0,,7.135247347,224,,,,,0,7.182040497,,,,7.179327852,2.171575077,,,,,,
0.316666667,7.746264344,14.65351395,30.30202655,102.0725625,7.787632201,7.796448303,2.785982882,2.117233276,2.094955444,0.865936279,2.087783813,0.316666667,0.031666667,0,,7.135519354,224,,,,,0,7.176887211,,,,7.185703313,2.175237892,,,,,,
0.333333333,7.745247102,14.63867401,30.28740259,102.0777188,7.780511505,7.796787384,2.784626559,2.117080688,2.095031738,0.865402222,2.087783813,0.333333333,0.033333333,0,,7.135010997,225,,,,,0,7.1702754,,,,7.18655128,2.174390454,,,,,,
0.35,7.746264344,14.63496403,30.29325207,102.082875,7.787971282,7.796787384,2.784287478,2.117080688,2.095108032,0.86555481,2.087860107,0.35,0.035,0,,7.13622675,224,,,,,0,7.177933688,,,,7.18674979,2.174249884,,,,,,
0.366666667,7.745925263,14.68226634,30.28594024,102.1035,7.78254599,7.797465546,2.784626559,2.117156982,2.09487915,0.86517334,2.087783813,0.366666667,0.036666667,0,,7.133860943,224,,,,,0,7.170481669,,,,7.185401225,2.172562238,,,,,,
0.383333333,7.746603425,14.65722394,30.26839272,102.1086563,7.78254599,7.796787384,2.783270236,2.117156982,2.095031738,0.865631104,2.087783813,0.383333333,0.038333333,0,,7.135451172,225,,,,,0,7.171393737,,,,7.185635131,2.172117983,,,,,,
0.4,7.746603425,14.63218154,30.27277949,102.1052188,7.783563232,7.797126465,2.785643801,2.117156982,2.094955444,0.86555481,2.08770752,0.4,0.04,0,,7.136528277,224,,,,,0,7.173488084,,,,7.187051317,2.175568654,,,,,,
0.416666667,7.750333314,14.63681902,30.26985497,102.1052188,7.78254599,7.796787384,2.786661044,2.117156982,2.095031738,0.866165161,2.087860107,0.416666667,0.041666667,0,,7.140042852,224,,,,,0,7.172255528,,,,7.186496922,2.176370582,,,,,,
0.433333333,7.750333314,14.63032654,30.26400604,102.1000625,7.784241394,7.797126465,2.78530472,2.117156982,2.095108032,0.865478516,2.08770752,0.433333333,0.043333333,0,,7.140269648,225,,,,,0,7.174177727,,,,7.187062799,2.175241054,,,,,,
0.45,7.749994233,14.64702148,30.27277949,102.0536563,7.783563232,7.796787384,2.786321963,2.11730957,2.09487915,0.865859985,2.087783813,0.45,0.045,0,,7.139300348,224,,,,,0,7.172869347,,,,7.186093499,2.175628078,,,,,,
0.466666667,7.750672395,14.6655714,30.29471446,102.055375,7.790005767,7.802551758,2.788017367,2.117156982,2.095108032,0.863571167,2.08770752,0.466666667,0.046666667,0,,7.139369959,224,,,,,0,7.178703332,,,,7.191249323,2.176714932,,,,,,
0.483333333,7.75711493,14.91135792,30.20844796,102.0519375,7.789327605,7.804247162,2.791408175,2.11730957,2.094955444,0.864028931,2.087860107,0.483333333,0.048333333,0,,7.134906575,225,,,,,0,7.167119251,,,,7.182038807,2.16919982,,,,,,
0.5,7.755419526,14.86034563,30.17336492,102.0519375,7.795091979,7.804247162,2.789712771,2.117156982,2.094955444,0.864944458,2.08770752,0.5,0.05,0,,7.135070736,224,,,,,0,7.174743189,,,,7.183898372,2.169363981,,,,,,
0.516666667,7.756097687,14.80747834,30.12951789,102.0502188,7.794752898,7.804247162,2.787678286,2.117233276,2.095031738,0.867080688,2.087936401,0.516666667,0.051666667,0,,7.137619836,224,,,,,0,7.176275047,,,,7.185769311,2.169200435,,,,,,
0.533333333,7.755419526,14.80005837,30.11490387,102.0519375,7.796109221,7.80763797,2.786661044,2.117080688,2.095031738,0.867156982,2.087936401,0.533333333,0.053333333,0,,7.137139412,225,,,,,0,7.177829108,,,,7.189357857,2.16838093,,,,,,
0.55,7.754402283,14.82139078,30.09736814,102.0467813,7.799160949,7.808316132,2.787000125,2.117156982,2.09487915,0.867462158,2.088012695,0.55,0.055,0,,7.135096037,224,,,,,0,7.179854702,,,,7.189009885,2.167693878,,,,,,
0.566666667,7.755419526,14.73977111,30.08567831,102.0502188,7.798821868,7.807977051,2.787000125,2.11730957,2.095184326,0.866851807,2.087783813,0.566666667,0.056666667,0,,7.139434157,224,,,,,0,7.182836499,,,,7.191991682,2.171014756,,,,,,
0.583333333,7.755758606,14.7666685,30.06960564,102.0605313,7.799160949,7.807977051,2.787000125,2.117156982,2.094955444,0.866546631,2.087860107,0.583333333,0.058333333,0,,7.138525673,225,,,,,0,7.181928015,,,,7.190744118,2.169767191,,,,,,
0.6,7.762540222,14.77594346,30.0389242,102.0467813,7.798821868,7.803229919,2.787000125,2.117233276,2.095031738,0.866394043,2.08770752,0.6,0.06,0,,7.144683291,224,,,,,0,7.180964936,,,,7.185372988,2.169143193,,,,,,
0.616666667,7.762879303,14.78707342,30.03746327,102.055375,7.799160949,7.803569,2.787339205,2.117156982,2.094955444,0.866470337,2.087936401,0.616666667,0.061666667,0,,7.144545698,224,,,,,0,7.180827343,,,,7.185235395,2.1690056,,,,,,
0.633333333,7.761862061,14.76481351,30.0228544,102.055375,7.803568999,7.804586243,2.787339205,2.117080688,2.094955444,0.866241455,2.087936401,0.633333333,0.063333333,0,,7.144346636,225,,,,,0,7.186053574,,,,7.187070818,2.16982378,,,,,,
0.65,7.763218384,14.7416261,30.0228544,102.0450625,7.802890837,7.803569,2.788017367,2.11730957,2.095031738,0.866394043,2.087783813,0.65,0.065,0,,7.146672736,224,,,,,0,7.18634519,,,,7.187023353,2.171471719,,,,,,
0.666666667,7.762540222,14.75553854,30.02139356,102.0536563,7.803229918,7.797126465,2.787678286,2.117233276,2.095031738,0.866394043,2.087860107,0.666666667,0.066666667,0,,7.145401445,224,,,,,0,7.186091141,,,,7.179987688,2.170539509,,,,,,
0.683333333,7.762879303,14.71287371,30.03161963,102.0467813,7.803229918,7.796787384,2.787678286,2.117156982,2.094955444,0.866470337,2.087936401,0.683333333,0.068333333,0,,7.147603537,225,,,,,0,7.187954152,,,,7.181511618,2.17240252,,,,,,
0.7,7.762879303,14.72864115,30.03600235,102.0570938,7.803568999,7.797126465,2.789034609,2.117233276,2.094955444,0.866546631,2.087860107,0.7,0.07,0,,7.14697786,224,,,,,0,7.187667556,,,,7.181225021,2.173133166,,,,,,
0.716666667,7.768304596,14.63867401,30.02723698,102.0399063,7.803568999,7.79102301,2.789034609,2.117156982,2.095031738,0.866470337,2.087783813,0.716666667,0.071666667,0,,7.156098274,224,,,,,0,7.191362677,,,,7.178816688,2.176828287,,,,,,
0.733333333,7.762879303,14.76295851,30.0593781,102.0502188,7.803229918,7.791701172,2.78937369,2.11730957,2.095108032,0.866699219,2.087860107,0.733333333,0.073333333,0,,7.145722798,225,,,,,0,7.186073413,,,,7.174544667,2.172217185,,,,,,
0.75,7.768304596,14.74440859,30.10759717,102.055375,7.809672453,7.791701172,2.789712771,2.117233276,2.095031738,0.866546631,2.088012695,0.75,0.075,0,,7.15229336,224,,,,,0,7.193661217,,,,7.175689935,2.173701535,,,,,,
0.766666667,7.762201142,14.70545374,30.13390226,102.0639688,7.809333373,7.786275879,2.789712771,2.117233276,2.095031738,0.866394043,2.087860107,0.766666667,0.076666667,0,,7.148018064,224,,,,,0,7.195150295,,,,7.172092801,2.175529693,,,,,,
0.783333333,7.763218384,14.69339629,30.16167165,102.0381875,7.810011534,7.786275879,2.790051852,2.117080688,2.095031738,0.866470337,2.087860107,0.783333333,0.078333333,0,,7.14975012,225,,,,,0,7.19654327,,,,7.172807615,2.176583588,,,,,,
0.8,7.763218384,14.64609398,30.17628833,102.027875,7.808655211,7.781867828,2.789712771,2.117233276,2.095108032,0.866622925,2.088012695,0.8,0.08,0,,7.151835703,224,,,,,0,7.19727253,,,,7.170485147,2.17833009,,,,,,
0.816666667,7.762879303,14.64423899,30.21137176,102.0313125,7.808994292,7.781528748,2.791069094,2.117156982,2.095031738,0.866546631,2.087783813,0.816666667,0.081666667,0,,7.151839122,224,,,,,0,7.197954111,,,,7.170488567,2.180028913,,,,,,
0.833333333,7.758810334,14.64516649,30.23037732,102.0381875,7.802890837,7.781528748,2.789712771,2.117156982,2.095108032,0.866546631,2.087936401,0.833333333,0.083333333,0,,7.147874769,225,,,,,0,7.191955272,,,,7.170593182,2.178777206,,,,,,
0.85,7.755758606,14.64516649,30.25084644,102.0433438,7.803229918,7.780850586,2.790730013,2.11730957,2.095031738,0.866699219,2.087860107,0.85,0.085,0,,7.14497717,224,,,,,0,7.192448481,,,,7.170069149,2.179948577,,,,,,
0.866666667,7.756097687,14.63589152,30.27716633,102.0381875,7.80390808,7.782206909,2.790730013,2.11730957,2.095108032,0.867004395,2.087860107,0.866666667,0.086666667,0,,7.145900783,224,,,,,0,7.193711176,,,,7.172010005,2.180533109,,,,,,
0.883333333,7.755080445,14.63681902,30.28009093,102.0467813,7.803568999,7.782206909,2.791747256,2.117233276,2.094955444,0.866699219,2.087783813,0.883333333,0.088333333,0,,7.144866819,225,,,,,0,7.193355373,,,,7.171993284,2.18153363,,,,,,
0.9,7.762879303,14.62568906,30.29471446,102.0399063,7.803229918,7.782206909,2.791408175,2.11730957,2.095184326,0.867080688,2.087860107,0.9,0.09,0,,7.153239277,224,,,,,0,7.193589892,,,,7.172566883,2.181768149,,,,,,
0.916666667,7.762201142,14.63774652,30.30202655,102.0381875,7.802890837,7.781189667,2.792086337,2.11730957,2.095108032,0.867004395,2.087936401,0.916666667,0.091666667,0,,7.152113324,224,,,,,0,7.19280302,,,,7.171101849,2.181998519,,,,,,
0.933333333,7.764235626,14.63125404,30.3064139,102.0381875,7.803229918,7.781189667,2.791747256,2.117080688,2.09487915,0.867233276,2.088012695,0.933333333,0.093333333,0,,7.154451259,225,,,,,0,7.193445551,,,,7.1714053,2.181962889,,,,,,
0.95,7.755758606,14.640529,30.31080134,102.0330313,7.803229918,7.782206909,2.791408175,2.117233276,2.095184326,0.86730957,2.087936401,0.95,0.095,0,,7.14562055,224,,,,,0,7.193091861,,,,7.172068852,2.181270118,,,,,,
0.966666667,7.756097687,14.63681902,30.3181139,102.03475,7.803229918,7.781867828,2.792425417,2.117080688,2.095108032,0.86730957,2.08770752,0.966666667,0.096666667,0,,7.146168975,224,,,,,0,7.193301206,,,,7.171939116,2.182496705,,,,,,
0.983333333,7.755419526,14.63589152,30.33859022,102.0381875,7.798821868,7.786275879,2.792086337,2.117156982,2.095031738,0.867004395,2.087783813,0.983333333,0.098333333,0,,7.145682557,225,,,,,0,7.189084899,,,,7.17653891,2.182349368,,,,,,
1,7.755758606,14.63681902,30.31665137,102.0330313,7.794074737,7.782206909,2.792425417,2.117080688,2.095031738,0.867385864,2.087860107,1,0.1,0,,7.14581895,224,,,,,0,7.18413508,,,,7.172267253,2.182485761,,,,,,
1.016666667,7.755758606,14.640529,30.32835184,102.0381875,7.794074737,7.781189667,2.792764498,2.116928101,2.094955444,0.867385864,2.087936401,1.016666667,0.101666667,0,,7.145751894,224,,,,,0,7.184068025,,,,7.171182955,2.182757786,,,,,,
1.033333333,7.756097687,14.640529,30.3444409,102.0364688,7.788310363,7.781189667,2.793103579,2.117080688,2.09487915,0.86730957,2.088088989,1.033333333,0.103333333,0,,7.146211234,225,,,,,0,7.17842391,,,,7.171303214,2.183217126,,,,,,
1.05,7.762879303,14.63681902,30.37223358,102.027875,7.788649444,7.781867828,2.792425417,2.117080688,2.094955444,0.86730957,2.087860107,1.05,0.105,0,,7.15335475,224,,,,,0,7.179124891,,,,7.172343275,2.182900864,,,,,,
1.066666667,7.762540222,14.6414565,30.37954796,102.0295938,7.787971282,7.781189667,2.792764498,2.117156982,2.094955444,0.867462158,2.087860107,1.066666667,0.106666667,0,,7.152877066,224,,,,,0,7.178308126,,,,7.171526511,2.183101342,,,,,,
1.083333333,7.756097687,14.64331149,30.38686256,102.0313125,7.790344848,7.781189667,2.793103579,2.11730957,2.095108032,0.86730957,2.08770752,1.083333333,0.108333333,0,,7.146411787,225,,,,,0,7.180658947,,,,7.171503766,2.183417678,,,,,,
1.1,7.762540222,14.63589152,30.38101086,102.0313125,7.794074737,7.781867828,2.79344266,2.117156982,2.095031738,0.86730957,2.087783813,1.1,0.11,0,,7.153119685,224,,,,,0,7.1846542,,,,7.172447291,2.184022123,,,,,,
1.116666667,7.762540222,14.63774652,30.38101086,102.0313125,7.793735656,7.781528748,2.793103579,2.117233276,2.095031738,0.867385864,2.087860107,1.116666667,0.111666667,0,,7.153042446,224,,,,,0,7.184237879,,,,7.172030971,2.183605802,,,,,,
1.133333333,7.762201142,14.640529,30.38686256,102.03475,7.793735656,7.782206909,2.793781741,2.117080688,2.095031738,0.867462158,2.087860107,1.133333333,0.113333333,0,,7.152631092,225,,,,,0,7.184165606,,,,7.17263686,2.184211691,,,,,,
1.15,7.762201142,14.64331149,30.3839367,102.0364688,7.793396575,7.781867828,2.793103579,2.117156982,2.095031738,0.86730957,2.087783813,1.15,0.115,0,,7.152493446,224,,,,,0,7.183688879,,,,7.172160132,2.183395883,,,,,,
1.166666667,7.761862061,14.64887647,30.39271441,102.0467813,7.793396575,7.781528748,2.793103579,2.117233276,2.095031738,0.867614746,2.087783813,1.166666667,0.116666667,0,,7.151988052,224,,,,,0,7.183522566,,,,7.171654738,2.18322957,,,,,,
1.183333333,7.767965515,14.64794897,30.41319695,102.03475,7.793735656,7.781528748,2.794120822,2.117233276,2.095031738,0.867538452,2.087860107,1.183333333,0.118333333,0,,7.15828255,225,,,,,0,7.18405269,,,,7.171845782,2.184437856,,,,,,
1.2,7.768304596,14.65165896,30.45124057,102.0295938,7.793735656,7.781528748,2.793781741,2.117156982,2.094802856,0.867767334,2.087783813,1.2,0.12,0,,7.158749794,224,,,,,0,7.184180854,,,,7.171973946,2.184226939,,,,,,
1.216666667,7.768643677,14.65258646,30.4307548,102.0364688,7.794413817,7.78254599,2.793781741,2.117233276,2.095184326,0.867843628,2.087936401,1.216666667,0.121666667,0,,7.158898211,224,,,,,0,7.184668352,,,,7.172800525,2.184036275,,,,,,
1.233333333,7.768304596,14.64609398,30.41027077,102.0330313,7.794413817,7.782885071,2.794459902,2.117156982,2.095031738,0.86769104,2.087860107,1.233333333,0.123333333,0,,7.15867708,225,,,,,0,7.184786302,,,,7.173257555,2.184832387,,,,,,
1.25,7.768643677,14.64794897,30.39271441,102.0330313,7.798821868,7.781867828,2.794120822,2.117080688,2.095031738,0.867767334,2.088012695,1.25,0.125,0,,7.158808282,224,,,,,0,7.188986473,,,,7.172032433,2.184285427,,,,,,
1.266666667,7.767626434,14.65815143,30.37369644,102.0381875,7.798821868,7.78254599,2.794459902,2.117156982,2.094955444,0.867767334,2.087783813,1.266666667,0.126666667,0,,7.157224448,224,,,,,0,7.188419882,,,,7.172144004,2.184057916,,,,,,
1.283333333,7.767965515,14.64331149,30.39856639,102.0364688,7.798821868,7.781528748,2.794798983,2.117156982,2.095031738,0.867843628,2.087936401,1.283333333,0.128333333,0,,7.158366751,225,,,,,0,7.189223104,,,,7.171929984,2.185200219,,,,,,
1.3,7.767965515,14.65258646,30.40588156,102.0485,7.798821868,7.78254599,2.795138064,2.117004395,2.094955444,0.867996216,2.087783813,1.3,0.13,0,,7.158035095,224,,,,,0,7.188891448,,,,7.17261557,2.185207644,,,,,,
1.316666667,7.767626434,14.64980397,30.39710338,102.0536563,7.802890837,7.782206909,2.795816226,2.117233276,2.095108032,0.867919922,2.087860107,1.316666667,0.131666667,0,,7.157746497,224,,,,,0,7.1930109,,,,7.172326972,2.185936288,,,,,,
1.333333333,7.768304596,14.63960151,30.38101086,102.0570938,7.80390808,7.78254599,2.796494387,2.117080688,2.095031738,0.867996216,2.087936401,1.333333333,0.133333333,0,,7.15872958,225,,,,,0,7.194333063,,,,7.172970974,2.186919371,,,,,,
1.35,7.762201142,14.64794897,30.37223358,102.0519375,7.803568999,7.782206909,2.796155306,2.117233276,2.095031738,0.86807251,2.08770752,1.35,0.135,0,,7.152213101,224,,,,,0,7.193580958,,,,7.172218868,2.186167266,,,,,,
1.366666667,7.761862061,14.64423899,30.38686256,102.0605313,7.803568999,7.783563232,2.796494387,2.117156982,2.094955444,0.868301392,2.087860107,1.366666667,0.136666667,0,,7.152137543,224,,,,,0,7.193844481,,,,7.173838715,2.186769869,,,,,,
1.383333333,7.762540222,14.64609398,30.38539963,102.069125,7.802890837,7.78661496,2.795816226,2.117080688,2.095184326,0.868225098,2.08770752,1.383333333,0.138333333,0,,7.152727572,225,,,,,0,7.193078186,,,,7.176802309,2.186003575,,,,,,
1.4,7.755080445,14.64423899,30.39271441,102.0674063,7.802890837,7.785936798,2.796833468,2.117385864,2.094955444,0.868225098,2.087936401,1.4,0.14,0,,7.145399507,224,,,,,0,7.1932099,,,,7.17625586,2.18715253,,,,,,
1.416666667,7.762201142,14.64423899,30.37662218,102.0725625,7.802890837,7.786275879,2.797172549,2.117004395,2.095031738,0.868301392,2.087783813,1.416666667,0.141666667,0,,7.152400316,224,,,,,0,7.193090012,,,,7.176475054,2.187371724,,,,,,
1.433333333,7.762540222,14.63589152,30.37954796,102.0742813,7.80390808,7.78661496,2.796833468,2.117004395,2.095184326,0.868377686,2.087631226,1.433333333,0.143333333,0,,7.153108789,225,,,,,0,7.194476647,,,,7.177183527,2.187402035,,,,,,
1.45,7.762879303,14.6414565,30.36784505,102.0725625,7.808994292,7.786275879,2.79785071,2.11730957,2.094955444,0.868301392,2.087936401,1.45,0.145,0,,7.153128907,224,,,,,0,7.199243895,,,,7.176525482,2.188100314,,,,,,
1.466666667,7.763218384,14.640529,30.36784505,102.0570938,7.809672453,7.781867828,2.79751163,2.117004395,2.095108032,0.868530273,2.08770752,1.466666667,0.146666667,0,,7.153506613,224,,,,,0,7.199960683,,,,7.172156058,2.187799859,,,,,,
1.483333333,7.762540222,14.64516649,30.37369644,102.06225,7.809672453,7.782206909,2.79751163,2.117233276,2.095031738,0.868225098,2.08770752,1.483333333,0.148333333,0,,7.152678962,225,,,,,0,7.199811193,,,,7.172345649,2.187650369,,,,,,
1.5,7.768304596,14.64702148,30.37954796,102.0656875,7.810011534,7.78254599,2.79785071,2.117080688,2.095184326,0.868453979,2.087783813,1.5,0.15,0,,7.158409717,224,,,,,0,7.200116655,,,,7.172651111,2.187955831,,,,,,
1.516666667,7.767626434,14.64609398,30.38832551,102.06225,7.808994292,7.781867828,2.798528872,2.117080688,2.094802856,0.868530273,2.087936401,1.516666667,0.151666667,0,,7.157835581,224,,,,,0,7.199203438,,,,7.172076975,2.188738018,,,,,,
1.533333333,7.762879303,14.63125404,30.43368123,102.0588125,7.809333373,7.781867828,2.798867953,2.117233276,2.09487915,0.868377686,2.08770752,1.533333333,0.153333333,0,,7.154043261,225,,,,,0,7.200497331,,,,7.173031786,2.190031911,,,,,,
1.55,7.763218384,14.64702148,30.43221801,102.055375,7.809672453,7.776103455,2.798867953,2.117004395,2.09487915,0.868453979,2.087860107,1.55,0.155,0,,7.153715363,224,,,,,0,7.200169432,,,,7.166600433,2.189364931,,,,,,
1.566666667,7.763557465,14.63218154,30.44099747,102.0588125,7.815097746,7.776781616,2.799207034,2.11730957,2.094955444,0.868606567,2.087860107,1.566666667,0.156666667,0,,7.154737079,224,,,,,0,7.20627736,,,,7.16796123,2.190386648,,,,,,
1.583333333,7.763218384,14.640529,30.42636522,102.0588125,7.819505796,7.775764374,2.799207034,2.117233276,2.095031738,0.868453979,2.087860107,1.583333333,0.158333333,0,,7.153942082,225,,,,,0,7.210229495,,,,7.166488072,2.189930732,,,,,,
1.6,7.762879303,14.62012409,30.4292916,102.0536563,7.825609251,7.776781616,2.799546115,2.117233276,2.094955444,0.868606567,2.087936401,1.6,0.16,0,,7.154473864,224,,,,,0,7.217203812,,,,7.168376177,2.191140675,,,,,,
1.616666667,7.762879303,14.64423899,30.42636522,102.0502188,7.82527017,7.776781616,2.799207034,2.117156982,2.095184326,0.868606567,2.087936401,1.616666667,0.161666667,0,,7.153448608,224,,,,,0,7.215839475,,,,7.167350921,2.189776338,,,,,,
1.633333333,7.761862061,14.63496403,30.42051257,102.0467813,7.825948332,7.776442535,2.800563357,2.117233276,2.095108032,0.868530273,2.088012695,1.633333333,0.163333333,0,,7.152773899,225,,,,,0,7.21686017,,,,7.167354373,2.191475195,,,,,,
1.65,7.763557465,14.63403653,30.40441851,102.0588125,7.832051786,7.776781616,2.800224276,2.117080688,2.09487915,0.868606567,2.087860107,1.65,0.165,0,,7.15438833,224,,,,,0,7.222882652,,,,7.167612482,2.191055142,,,,,,
1.666666667,7.762540222,14.63960151,30.39271441,102.0588125,7.831712705,7.776781616,2.800224276,2.117233276,2.094955444,0.868682861,2.087860107,1.666666667,0.166666667,0,,7.153052356,224,,,,,0,7.222224839,,,,7.16729375,2.19073641,,,,,,
